Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,strain,treatment,time,library type,geo_loc_name,collection_date
SRR22989517,44669746,9023288692,101,2665,SRX18945600,GSM6918976,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP416019,PRJNA918680,1,"",SRS16369609,SAMN32603052,simple,10090,Mus musculus,GSM6918976,"Hyeshik Chang Lab, School of Biological Sciences, Seoul National University",SRA1570005,12,2023,Makar,Lung,"RNA-seq, Early set, control, rep 1",Lung,Lung,"B6.Cg-Tg(K18-ACE2)2Prlmn/J (The Jackson Laboratory, #034860)",None,None,RNA-seq,missing,missing
SRR22989516,43327883,8752232366,101,2570,SRX18945601,GSM6918977,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP416019,PRJNA918680,1,"",SRS16369610,SAMN32603051,simple,10090,Mus musculus,GSM6918977,"Hyeshik Chang Lab, School of Biological Sciences, Seoul National University",SRA1570005,12,2023,Makar,Lung,"RNA-seq, Early set, control, rep 2",Lung,Lung,"B6.Cg-Tg(K18-ACE2)2Prlmn/J (The Jackson Laboratory, #034860)",None,None,RNA-seq,missing,missing
SRR22989513,34193334,6907053468,101,2006,SRX18945602,GSM6918978,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP416019,PRJNA918680,1,"",SRS16369611,SAMN32603050,simple,10090,Mus musculus,GSM6918978,"Hyeshik Chang Lab, School of Biological Sciences, Seoul National University",SRA1570005,12,2023,Makar,Lung,"RNA-seq, Early set, control, rep 3",Lung,Lung,"B6.Cg-Tg(K18-ACE2)2Prlmn/J (The Jackson Laboratory, #034860)",None,None,RNA-seq,missing,missing
SRR22989512,44726736,9034800672,101,2667,SRX18945603,GSM6918979,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP416019,PRJNA918680,1,"",SRS16369612,SAMN32603049,simple,10090,Mus musculus,GSM6918979,"Hyeshik Chang Lab, School of Biological Sciences, Seoul National University",SRA1570005,12,2023,Makar,Lung,"RNA-seq, Early set, control, rep 4",Lung,Lung,"B6.Cg-Tg(K18-ACE2)2Prlmn/J (The Jackson Laboratory, #034860)",None,None,RNA-seq,missing,missing
SRR22989514,36839697,7441618794,101,2195,SRX18945604,GSM6918980,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP416019,PRJNA918680,1,"",SRS16369613,SAMN32603048,simple,10090,Mus musculus,GSM6918980,"Hyeshik Chang Lab, School of Biological Sciences, Seoul National University",SRA1570005,12,2023,Makar,Lung,"RNA-seq, Early set, 1 dpi, rep 1",Lung,Lung,"B6.Cg-Tg(K18-ACE2)2Prlmn/J (The Jackson Laboratory, #034860)",SARS-CoV-2 infection,1 day post-infection,RNA-seq,missing,missing
SRR22989511,42713661,8628159522,101,2486,SRX18945605,GSM6918981,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP416019,PRJNA918680,1,"",SRS16369614,SAMN32603047,simple,10090,Mus musculus,GSM6918981,"Hyeshik Chang Lab, School of Biological Sciences, Seoul National University",SRA1570005,12,2023,Makar,Lung,"RNA-seq, Early set, 1 dpi, rep 2",Lung,Lung,"B6.Cg-Tg(K18-ACE2)2Prlmn/J (The Jackson Laboratory, #034860)",SARS-CoV-2 infection,1 day post-infection,RNA-seq,missing,missing
SRR22989515,43259509,8738420818,101,2578,SRX18945606,GSM6918982,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP416019,PRJNA918680,1,"",SRS16369615,SAMN32603046,simple,10090,Mus musculus,GSM6918982,"Hyeshik Chang Lab, School of Biological Sciences, Seoul National University",SRA1570005,12,2023,Makar,Lung,"RNA-seq, Early set, 1 dpi, rep 3",Lung,Lung,"B6.Cg-Tg(K18-ACE2)2Prlmn/J (The Jackson Laboratory, #034860)",SARS-CoV-2 infection,1 day post-infection,RNA-seq,missing,missing
SRR22989510,44536277,8996327954,101,2653,SRX18945607,GSM6918983,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP416019,PRJNA918680,1,"",SRS16369616,SAMN32603045,simple,10090,Mus musculus,GSM6918983,"Hyeshik Chang Lab, School of Biological Sciences, Seoul National University",SRA1570005,12,2023,Makar,Lung,"RNA-seq, Early set, 1 dpi, rep 4",Lung,Lung,"B6.Cg-Tg(K18-ACE2)2Prlmn/J (The Jackson Laboratory, #034860)",SARS-CoV-2 infection,1 day post-infection,RNA-seq,missing,missing
SRR22989509,42025993,8489250586,101,2468,SRX18945608,GSM6918984,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP416019,PRJNA918680,1,"",SRS16369617,SAMN32603044,simple,10090,Mus musculus,GSM6918984,"Hyeshik Chang Lab, School of Biological Sciences, Seoul National University",SRA1570005,12,2023,Makar,Lung,"RNA-seq, Early set, 2 dpi, rep 1",Lung,Lung,"B6.Cg-Tg(K18-ACE2)2Prlmn/J (The Jackson Laboratory, #034860)",SARS-CoV-2 infection,2 days post-infection,RNA-seq,missing,missing
SRR22989506,41598153,8402826906,101,2471,SRX18945609,GSM6918985,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP416019,PRJNA918680,1,"",SRS16369618,SAMN32603043,simple,10090,Mus musculus,GSM6918985,"Hyeshik Chang Lab, School of Biological Sciences, Seoul National University",SRA1570005,12,2023,Makar,Lung,"RNA-seq, Early set, 2 dpi, rep 2",Lung,Lung,"B6.Cg-Tg(K18-ACE2)2Prlmn/J (The Jackson Laboratory, #034860)",SARS-CoV-2 infection,2 days post-infection,RNA-seq,missing,missing
