Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,genotype,growth condition,treatment
SRR23353752,11786694,3630301752,154,1318,SRX19295072,GSM7029198,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP421223,PRJNA932025,38503286,"",SRS16695668,SAMN33143446,simple,9606,Homo sapiens,GSM7029198,"Stirling Churchman, Genetics, Harvard Medical School",SRA1586036,01,2025,McShane,HeLa,TL3_Hela_50_0m_rep1,HeLa,HeLa,WT,DMEM containing glucose and pyruvate supplemented with 10% FBS,0 uM 4sU
SRR23353751,38896932,11669079600,150,4720,SRX19295073,GSM7029199,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP421223,PRJNA932025,38503286,"",SRS16695669,SAMN33143445,simple,9606,Homo sapiens,GSM7029199,"Stirling Churchman, Genetics, Harvard Medical School",SRA1586036,01,2025,McShane,HeLa,TL4_Hela_50_0m_rep2,HeLa,HeLa,WT,DMEM containing glucose and pyruvate supplemented with 10% FBS,0 uM 4sU
SRR23353750,13083198,4029624984,154,1518,SRX19295074,GSM7029200,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP421223,PRJNA932025,38503286,"",SRS16695670,SAMN33143444,simple,9606,Homo sapiens,GSM7029200,"Stirling Churchman, Genetics, Harvard Medical School",SRA1586036,01,2025,McShane,HeLa,TL3_Hela_50_7m_rep1,HeLa,HeLa,WT,DMEM containing glucose and pyruvate supplemented with 10% FBS,50 uM 4sU for 7 min
SRR23353749,33688296,10106488800,150,4208,SRX19295075,GSM7029201,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP421223,PRJNA932025,38503286,"",SRS16695671,SAMN33143443,simple,9606,Homo sapiens,GSM7029201,"Stirling Churchman, Genetics, Harvard Medical School",SRA1586036,01,2025,McShane,HeLa,TL4_Hela_50_7m_rep2,HeLa,HeLa,WT,DMEM containing glucose and pyruvate supplemented with 10% FBS,50 uM 4sU for 7 min
SRR23353748,20875361,6429611188,154,2353,SRX19295076,GSM7029202,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP421223,PRJNA932025,38503286,"",SRS16695672,SAMN33143442,simple,9606,Homo sapiens,GSM7029202,"Stirling Churchman, Genetics, Harvard Medical School",SRA1586036,01,2025,McShane,HeLa,TL3_Hela_50_15m_rep1,HeLa,HeLa,WT,DMEM containing glucose and pyruvate supplemented with 10% FBS,50 uM 4sU for 15 min
SRR23353747,32690564,9807169200,150,4041,SRX19295077,GSM7029203,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP421223,PRJNA932025,38503286,"",SRS16695673,SAMN33143441,simple,9606,Homo sapiens,GSM7029203,"Stirling Churchman, Genetics, Harvard Medical School",SRA1586036,01,2025,McShane,HeLa,TL4_Hela_50_15m_rep2,HeLa,HeLa,WT,DMEM containing glucose and pyruvate supplemented with 10% FBS,50 uM 4sU for 15 min
SRR23353746,24071541,7414034628,154,2647,SRX19295078,GSM7029204,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP421223,PRJNA932025,38503286,"",SRS16695674,SAMN33143440,simple,9606,Homo sapiens,GSM7029204,"Stirling Churchman, Genetics, Harvard Medical School",SRA1586036,01,2025,McShane,HeLa,TL3_Hela_50_30m_rep1,HeLa,HeLa,WT,DMEM containing glucose and pyruvate supplemented with 10% FBS,50 uM 4sU for 30 min
SRR23353745,43146086,12943825800,150,5181,SRX19295079,GSM7029205,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP421223,PRJNA932025,38503286,"",SRS16695675,SAMN33143439,simple,9606,Homo sapiens,GSM7029205,"Stirling Churchman, Genetics, Harvard Medical School",SRA1586036,01,2025,McShane,HeLa,TL4_Hela_50_30m_rep2,HeLa,HeLa,WT,DMEM containing glucose and pyruvate supplemented with 10% FBS,50 uM 4sU for 30 min
SRR23353744,22741404,7004352432,154,2552,SRX19295080,GSM7029206,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP421223,PRJNA932025,38503286,"",SRS16695676,SAMN33143438,simple,9606,Homo sapiens,GSM7029206,"Stirling Churchman, Genetics, Harvard Medical School",SRA1586036,01,2025,McShane,HeLa,TL3_Hela_50_45m_rep1,HeLa,HeLa,WT,DMEM containing glucose and pyruvate supplemented with 10% FBS,50 uM 4sU for 45 min
SRR23353743,45368411,13610523300,150,5594,SRX19295081,GSM7029207,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP421223,PRJNA932025,38503286,"",SRS16695677,SAMN33143437,simple,9606,Homo sapiens,GSM7029207,"Stirling Churchman, Genetics, Harvard Medical School",SRA1586036,01,2025,McShane,HeLa,TL4_Hela_50_45m_rep2,HeLa,HeLa,WT,DMEM containing glucose and pyruvate supplemented with 10% FBS,50 uM 4sU for 45 min
SRR23353742,21066056,6488345248,154,2330,SRX19295082,GSM7029208,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP421223,PRJNA932025,38503286,"",SRS16695679,SAMN33143436,simple,9606,Homo sapiens,GSM7029208,"Stirling Churchman, Genetics, Harvard Medical School",SRA1586036,01,2025,McShane,HeLa,TL3_Hela_50_60m_rep1,HeLa,HeLa,WT,DMEM containing glucose and pyruvate supplemented with 10% FBS,50 uM 4sU for 60 min
SRR23353741,61048058,18314417400,150,7447,SRX19295083,GSM7029209,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP421223,PRJNA932025,38503286,"",SRS16695678,SAMN33143435,simple,9606,Homo sapiens,GSM7029209,"Stirling Churchman, Genetics, Harvard Medical School",SRA1586036,01,2025,McShane,HeLa,TL4_Hela_50_60m_rep2,HeLa,HeLa,WT,DMEM containing glucose and pyruvate supplemented with 10% FBS,50 uM 4sU for 60 min
