Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,isolate,dev_stage,geo_loc_name,tissue,BioSampleModel
SRR23387621,22314232,6694269600,150,2164,SRX19325412,B016CK-1,RNA-Seq,PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP421745,PRJNA932465,,"",SRS16723356,SAMN33195166,simple,4513,Hordeum vulgare,Barley RNA-seq sequence reads under normal nitrogen supply and low nitrogen stress,shanghai academy of agricultural sciences,SRA1587901,02,2024,chen,"",Plant sample from Hordeum vulgare,Shanghai,Seedling Stage,China,leaf,Plant
SRR23387620,21639241,6491772300,150,2091,SRX19325413,B016CK-2,RNA-Seq,PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP421745,PRJNA932465,,"",SRS16723356,SAMN33195166,simple,4513,Hordeum vulgare,Barley RNA-seq sequence reads under normal nitrogen supply and low nitrogen stress,shanghai academy of agricultural sciences,SRA1587901,02,2024,chen,"",Plant sample from Hordeum vulgare,Shanghai,Seedling Stage,China,leaf,Plant
SRR23387619,19401583,5820474900,150,1865,SRX19325414,B068LN-2,RNA-Seq,PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP421745,PRJNA932465,,"",SRS16723356,SAMN33195166,simple,4513,Hordeum vulgare,Barley RNA-seq sequence reads under normal nitrogen supply and low nitrogen stress,shanghai academy of agricultural sciences,SRA1587901,02,2024,chen,"",Plant sample from Hordeum vulgare,Shanghai,Seedling Stage,China,leaf,Plant
SRR23387618,19306127,5791838100,150,1850,SRX19325415,B068LN-3,RNA-Seq,PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP421745,PRJNA932465,,"",SRS16723356,SAMN33195166,simple,4513,Hordeum vulgare,Barley RNA-seq sequence reads under normal nitrogen supply and low nitrogen stress,shanghai academy of agricultural sciences,SRA1587901,02,2024,chen,"",Plant sample from Hordeum vulgare,Shanghai,Seedling Stage,China,leaf,Plant
SRR23387617,18371987,5511596100,150,1767,SRX19325416,B016CK-3,RNA-Seq,PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP421745,PRJNA932465,,"",SRS16723356,SAMN33195166,simple,4513,Hordeum vulgare,Barley RNA-seq sequence reads under normal nitrogen supply and low nitrogen stress,shanghai academy of agricultural sciences,SRA1587901,02,2024,chen,"",Plant sample from Hordeum vulgare,Shanghai,Seedling Stage,China,leaf,Plant
SRR23387616,22797651,6839295300,150,2208,SRX19325417,B016LN-1,RNA-Seq,PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP421745,PRJNA932465,,"",SRS16723356,SAMN33195166,simple,4513,Hordeum vulgare,Barley RNA-seq sequence reads under normal nitrogen supply and low nitrogen stress,shanghai academy of agricultural sciences,SRA1587901,02,2024,chen,"",Plant sample from Hordeum vulgare,Shanghai,Seedling Stage,China,leaf,Plant
SRR23387615,25400942,7620282600,150,2439,SRX19325418,B016LN-2,RNA-Seq,PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP421745,PRJNA932465,,"",SRS16723356,SAMN33195166,simple,4513,Hordeum vulgare,Barley RNA-seq sequence reads under normal nitrogen supply and low nitrogen stress,shanghai academy of agricultural sciences,SRA1587901,02,2024,chen,"",Plant sample from Hordeum vulgare,Shanghai,Seedling Stage,China,leaf,Plant
SRR23387614,22000583,6600174900,150,2103,SRX19325419,B016LN-3,RNA-Seq,PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP421745,PRJNA932465,,"",SRS16723356,SAMN33195166,simple,4513,Hordeum vulgare,Barley RNA-seq sequence reads under normal nitrogen supply and low nitrogen stress,shanghai academy of agricultural sciences,SRA1587901,02,2024,chen,"",Plant sample from Hordeum vulgare,Shanghai,Seedling Stage,China,leaf,Plant
SRR23387613,23197443,6959232900,150,2195,SRX19325420,B068CK-1,RNA-Seq,PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP421745,PRJNA932465,,"",SRS16723356,SAMN33195166,simple,4513,Hordeum vulgare,Barley RNA-seq sequence reads under normal nitrogen supply and low nitrogen stress,shanghai academy of agricultural sciences,SRA1587901,02,2024,chen,"",Plant sample from Hordeum vulgare,Shanghai,Seedling Stage,China,leaf,Plant
SRR23387612,20141404,6042421200,150,1933,SRX19325421,B068CK-2,RNA-Seq,PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP421745,PRJNA932465,,"",SRS16723356,SAMN33195166,simple,4513,Hordeum vulgare,Barley RNA-seq sequence reads under normal nitrogen supply and low nitrogen stress,shanghai academy of agricultural sciences,SRA1587901,02,2024,chen,"",Plant sample from Hordeum vulgare,Shanghai,Seedling Stage,China,leaf,Plant
SRR23387611,20696604,6208981200,150,1979,SRX19325422,B068CK-3,RNA-Seq,PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP421745,PRJNA932465,,"",SRS16723356,SAMN33195166,simple,4513,Hordeum vulgare,Barley RNA-seq sequence reads under normal nitrogen supply and low nitrogen stress,shanghai academy of agricultural sciences,SRA1587901,02,2024,chen,"",Plant sample from Hordeum vulgare,Shanghai,Seedling Stage,China,leaf,Plant
SRR23387610,20321063,6096318900,150,1960,SRX19325423,B068LN-1,RNA-Seq,PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP421745,PRJNA932465,,"",SRS16723356,SAMN33195166,simple,4513,Hordeum vulgare,Barley RNA-seq sequence reads under normal nitrogen supply and low nitrogen stress,shanghai academy of agricultural sciences,SRA1587901,02,2024,chen,"",Plant sample from Hordeum vulgare,Shanghai,Seedling Stage,China,leaf,Plant
SRR24844359,49922313,14976693900,150,4947,SRX20608514,B016CK-1,OTHER,PCR,OTHER,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP421745,PRJNA932465,,"",SRS17908405,SAMN33231723,simple,4513,Hordeum vulgare,Barley Ribo-seq sequence reads under normal nitrogen supply and low nitrogen stress,shanghai academy of agricultural sciences,SRA1650057,02,2024,chen,"",Plant sample from Hordeum vulgare,Shanghai,Seedling Stage,China,leaf,Plant
SRR24844358,65267930,19580379000,150,6319,SRX20608515,B016CK-2,OTHER,PCR,OTHER,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP421745,PRJNA932465,,"",SRS17908405,SAMN33231723,simple,4513,Hordeum vulgare,Barley Ribo-seq sequence reads under normal nitrogen supply and low nitrogen stress,shanghai academy of agricultural sciences,SRA1650057,02,2024,chen,"",Plant sample from Hordeum vulgare,Shanghai,Seedling Stage,China,leaf,Plant
SRR24844357,47135113,14140533900,150,4640,SRX20608516,B068LN-2,OTHER,PCR,OTHER,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP421745,PRJNA932465,,"",SRS17908405,SAMN33231723,simple,4513,Hordeum vulgare,Barley Ribo-seq sequence reads under normal nitrogen supply and low nitrogen stress,shanghai academy of agricultural sciences,SRA1650057,02,2024,chen,"",Plant sample from Hordeum vulgare,Shanghai,Seedling Stage,China,leaf,Plant
SRR24844356,47832243,14349672900,150,4625,SRX20608517,B068LN-3,OTHER,PCR,OTHER,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP421745,PRJNA932465,,"",SRS17908405,SAMN33231723,simple,4513,Hordeum vulgare,Barley Ribo-seq sequence reads under normal nitrogen supply and low nitrogen stress,shanghai academy of agricultural sciences,SRA1650057,02,2024,chen,"",Plant sample from Hordeum vulgare,Shanghai,Seedling Stage,China,leaf,Plant
SRR24844355,54688787,16406636100,150,5438,SRX20608518,B016CK-3,OTHER,PCR,OTHER,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP421745,PRJNA932465,,"",SRS17908405,SAMN33231723,simple,4513,Hordeum vulgare,Barley Ribo-seq sequence reads under normal nitrogen supply and low nitrogen stress,shanghai academy of agricultural sciences,SRA1650057,02,2024,chen,"",Plant sample from Hordeum vulgare,Shanghai,Seedling Stage,China,leaf,Plant
SRR24844354,51784342,15535302600,150,5144,SRX20608519,B016LN-1,OTHER,PCR,OTHER,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP421745,PRJNA932465,,"",SRS17908405,SAMN33231723,simple,4513,Hordeum vulgare,Barley Ribo-seq sequence reads under normal nitrogen supply and low nitrogen stress,shanghai academy of agricultural sciences,SRA1650057,02,2024,chen,"",Plant sample from Hordeum vulgare,Shanghai,Seedling Stage,China,leaf,Plant
SRR24844353,67204468,20161340400,150,6510,SRX20608520,B016LN-2,OTHER,PCR,OTHER,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP421745,PRJNA932465,,"",SRS17908405,SAMN33231723,simple,4513,Hordeum vulgare,Barley Ribo-seq sequence reads under normal nitrogen supply and low nitrogen stress,shanghai academy of agricultural sciences,SRA1650057,02,2024,chen,"",Plant sample from Hordeum vulgare,Shanghai,Seedling Stage,China,leaf,Plant
SRR24844352,76089469,22826840700,150,7421,SRX20608521,B016LN-3,OTHER,PCR,OTHER,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP421745,PRJNA932465,,"",SRS17908405,SAMN33231723,simple,4513,Hordeum vulgare,Barley Ribo-seq sequence reads under normal nitrogen supply and low nitrogen stress,shanghai academy of agricultural sciences,SRA1650057,02,2024,chen,"",Plant sample from Hordeum vulgare,Shanghai,Seedling Stage,China,leaf,Plant
SRR24844351,46499751,13949925300,150,4611,SRX20608522,B068LN-1,OTHER,PCR,OTHER,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP421745,PRJNA932465,,"",SRS17908405,SAMN33231723,simple,4513,Hordeum vulgare,Barley Ribo-seq sequence reads under normal nitrogen supply and low nitrogen stress,shanghai academy of agricultural sciences,SRA1650057,02,2024,chen,"",Plant sample from Hordeum vulgare,Shanghai,Seedling Stage,China,leaf,Plant
SRR24844350,48475529,14542658700,150,4793,SRX20608523,B068CK-3,OTHER,PCR,OTHER,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP421745,PRJNA932465,,"",SRS17908405,SAMN33231723,simple,4513,Hordeum vulgare,Barley Ribo-seq sequence reads under normal nitrogen supply and low nitrogen stress,shanghai academy of agricultural sciences,SRA1650057,02,2024,chen,"",Plant sample from Hordeum vulgare,Shanghai,Seedling Stage,China,leaf,Plant
SRR24844349,48139641,14441892300,150,4685,SRX20608524,B068CK-2,OTHER,PCR,OTHER,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP421745,PRJNA932465,,"",SRS17908405,SAMN33231723,simple,4513,Hordeum vulgare,Barley Ribo-seq sequence reads under normal nitrogen supply and low nitrogen stress,shanghai academy of agricultural sciences,SRA1650057,02,2024,chen,"",Plant sample from Hordeum vulgare,Shanghai,Seedling Stage,China,leaf,Plant
SRR24844348,50544948,15163484400,150,4958,SRX20608525,B068CK-1,OTHER,PCR,OTHER,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP421745,PRJNA932465,,"",SRS17908405,SAMN33231723,simple,4513,Hordeum vulgare,Barley Ribo-seq sequence reads under normal nitrogen supply and low nitrogen stress,shanghai academy of agricultural sciences,SRA1650057,02,2024,chen,"",Plant sample from Hordeum vulgare,Shanghai,Seedling Stage,China,leaf,Plant
