Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,geo_loc_name,collection_date,cell line
SRR23943009,15943318,17594316219,1103,15614,SRX19752252,GSM7112214,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,OXFORD_NANOPORE,MinION,SRP428802,PRJNA947647,38306272,"",SRS17117870,SAMN33864844,simple,10090,Mus musculus,GSM7112214,"Department of Reproductive Medicine, University of California, San Diego",SRA1609545,03,2024,Lee,GV oocyte,GV oocyte replicate 1,GV oocyte,GV oocyte,missing,missing,
SRR23943008,11949583,6442187976,539,6031,SRX19752253,GSM7112215,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,OXFORD_NANOPORE,MinION,SRP428802,PRJNA947647,38306272,"",SRS17117871,SAMN33864843,simple,10090,Mus musculus,GSM7112215,"Department of Reproductive Medicine, University of California, San Diego",SRA1609545,03,2024,Lee,GV oocyte,GV oocyte replicate 2,GV oocyte,GV oocyte,missing,missing,
SRR23943007,15904475,8908089294,560,8222,SRX19752254,GSM7112216,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,OXFORD_NANOPORE,MinION,SRP428802,PRJNA947647,38306272,"",SRS17117872,SAMN33864842,simple,10090,Mus musculus,GSM7112216,"Department of Reproductive Medicine, University of California, San Diego",SRA1609545,03,2024,Lee,MII oocyte,MII oocyte replicate 1,MII oocyte,MII oocyte,missing,missing,
SRR23943006,90485018,38448577224,424,34810,SRX19752255,GSM7112217,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,OXFORD_NANOPORE,MinION,SRP428802,PRJNA947647,38306272,"",SRS17117873,SAMN33864841,simple,10090,Mus musculus,GSM7112217,"Department of Reproductive Medicine, University of California, San Diego",SRA1609545,03,2024,Lee,MII oocyte,MII oocyte replicate 2,MII oocyte,MII oocyte,missing,missing,
SRR23943005,22643492,12148756419,536,11142,SRX19752256,GSM7112218,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,OXFORD_NANOPORE,MinION,SRP428802,PRJNA947647,38306272,"",SRS17117874,SAMN33864840,simple,10090,Mus musculus,GSM7112218,"Department of Reproductive Medicine, University of California, San Diego",SRA1609545,03,2024,Lee,ZY oocyte,ZY oocyte replicate 1,ZY oocyte,ZY oocyte,missing,missing,
SRR23943004,28586309,13227144227,462,12061,SRX19752257,GSM7112219,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,OXFORD_NANOPORE,MinION,SRP428802,PRJNA947647,38306272,"",SRS17117875,SAMN33864839,simple,10090,Mus musculus,GSM7112219,"Department of Reproductive Medicine, University of California, San Diego",SRA1609545,03,2024,Lee,ZY oocyte,ZY oocyte replicate 2,ZY oocyte,ZY oocyte,missing,missing,
SRR23943003,17844536,8303372973,465,7932,SRX19752258,GSM7112220,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,OXFORD_NANOPORE,MinION,SRP428802,PRJNA947647,38306272,"",SRS17117876,SAMN33864838,simple,10090,Mus musculus,GSM7112220,"Department of Reproductive Medicine, University of California, San Diego",SRA1609545,03,2024,Lee,E2 oocyte,E2 oocyte replicate 1,E2 oocyte,E2 oocyte,missing,missing,
SRR23943002,19286288,7962470551,412,7673,SRX19752259,GSM7112221,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,OXFORD_NANOPORE,MinION,SRP428802,PRJNA947647,38306272,"",SRS17117877,SAMN33864837,simple,10090,Mus musculus,GSM7112221,"Department of Reproductive Medicine, University of California, San Diego",SRA1609545,03,2024,Lee,E2 oocyte,E2 oocyte replicate 2,E2 oocyte,E2 oocyte,missing,missing,
SRR23943001,13356302,4994019821,373,4880,SRX19752260,GSM7112222,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,OXFORD_NANOPORE,MinION,SRP428802,PRJNA947647,38306272,"",SRS17117878,SAMN33864836,simple,10090,Mus musculus,GSM7112222,"Department of Reproductive Medicine, University of California, San Diego",SRA1609545,03,2024,Lee,L2 oocyte,L2 oocyte replicate 1,L2 oocyte,L2 oocyte,missing,missing,
SRR23943000,9346215,3172823934,339,3145,SRX19752261,GSM7112223,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,OXFORD_NANOPORE,MinION,SRP428802,PRJNA947647,38306272,"",SRS17117879,SAMN33864835,simple,10090,Mus musculus,GSM7112223,"Department of Reproductive Medicine, University of California, San Diego",SRA1609545,03,2024,Lee,L2 oocyte,L2 oocyte replicate 2,L2 oocyte,L2 oocyte,missing,missing,
