Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,strain,isolate,host,collection_date,geo_loc_name,sample_type,replicate,BioSampleModel
SRR24082803,111760497,8318107961,74,2831,SRX19883733,RNA_HFY114-1,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP431099,PRJNA952648,,"",SRS17237987,SAMN34081588,simple,4932,Saccharomyces cerevisiae,PAB1_PBP1_rep1,University of Massachusetts Chan Medical School,SRA1616296,04,2024,Mangkalaphiban,"","",W303 WT,HFY114,not applicable,2021-07,"USA: Worcester, MA",Cell culture,replicate 1,"Microbe, viral or environmental"
SRR24082802,117436791,8738677533,74,2989,SRX19883734,RNA_HFY114-2,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP431099,PRJNA952648,,"",SRS17237988,SAMN34081589,simple,4932,Saccharomyces cerevisiae,PAB1_PBP1_rep2,University of Massachusetts Chan Medical School,SRA1616296,04,2024,Mangkalaphiban,"","",W303 WT,HFY114,not applicable,2021-07,"USA: Worcester, MA",Cell culture,replicate 2,"Microbe, viral or environmental"
SRR24082801,92678801,6950910075,75,2260,SRX19883735,RPF_HFY114-2,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP431099,PRJNA952648,,"",SRS17237988,SAMN34081589,simple,4932,Saccharomyces cerevisiae,PAB1_PBP1_rep2,University of Massachusetts Chan Medical School,SRA1616296,04,2024,Mangkalaphiban,"","",W303 WT,HFY114,not applicable,2021-07,"USA: Worcester, MA",Cell culture,replicate 2,"Microbe, viral or environmental"
SRR24082800,134083694,10056277050,75,3236,SRX19883736,RPF_HFY114-3,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP431099,PRJNA952648,,"",SRS17237990,SAMN34081590,simple,4932,Saccharomyces cerevisiae,PAB1_PBP1_rep3,University of Massachusetts Chan Medical School,SRA1616296,04,2024,Mangkalaphiban,"","",W303 WT,HFY114,not applicable,2021-07,"USA: Worcester, MA",Cell culture,replicate 3,"Microbe, viral or environmental"
SRR24082799,128966425,9672481875,75,3084,SRX19883737,RPF_KMY01,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP431099,PRJNA952648,,"",SRS17237989,SAMN34081591,simple,4932,Saccharomyces cerevisiae,PAB1_pbp1d_rep1,University of Massachusetts Chan Medical School,SRA1616296,04,2024,Mangkalaphiban,"","",W303 PBP1 deletion,KMY01,not applicable,2021-07,"USA: Worcester, MA",Cell culture,replicate 1,"Microbe, viral or environmental"
SRR24082798,135671151,10175336325,75,3302,SRX19883738,RPF_KMY02,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP431099,PRJNA952648,,"",SRS17237991,SAMN34081592,simple,4932,Saccharomyces cerevisiae,PAB1_pbp1d_rep2,University of Massachusetts Chan Medical School,SRA1616296,04,2024,Mangkalaphiban,"","",W303 PBP1 deletion,KMY02,not applicable,2021-07,"USA: Worcester, MA",Cell culture,replicate 2,"Microbe, viral or environmental"
SRR24082797,130383470,9778760250,75,3151,SRX19883739,RPF_KMY06,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP431099,PRJNA952648,,"",SRS17237992,SAMN34081593,simple,4932,Saccharomyces cerevisiae,PAB1_pbp1d_rep3,University of Massachusetts Chan Medical School,SRA1616296,04,2024,Mangkalaphiban,"","",W303 PBP1 deletion,KMY06,not applicable,2021-07,"USA: Worcester, MA",Cell culture,replicate 3,"Microbe, viral or environmental"
SRR24082796,83358755,6251906625,75,1970,SRX19883740,RPF_KMY07,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP431099,PRJNA952648,,"",SRS17237993,SAMN34081594,simple,4932,Saccharomyces cerevisiae,pab1d_pbp1d_rep1,University of Massachusetts Chan Medical School,SRA1616296,04,2024,Mangkalaphiban,"","",W303 PAB1 and PBP1 deletion,KMY07,not applicable,2021-07,"USA: Worcester, MA",Cell culture,replicate 1,"Microbe, viral or environmental"
SRR24082795,133625820,10021936500,75,3279,SRX19883741,RPF_KMY10,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP431099,PRJNA952648,,"",SRS17237995,SAMN34081595,simple,4932,Saccharomyces cerevisiae,pab1d_pbp1d_rep2,University of Massachusetts Chan Medical School,SRA1616296,04,2024,Mangkalaphiban,"","",W303 PAB1 and PBP1 deletion,KMY10,not applicable,2021-07,"USA: Worcester, MA",Cell culture,replicate 2,"Microbe, viral or environmental"
SRR24082794,97744225,7330816875,75,2391,SRX19883742,RPF_KMY11,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP431099,PRJNA952648,,"",SRS17237994,SAMN34081596,simple,4932,Saccharomyces cerevisiae,pab1d_pbp1d_rep3,University of Massachusetts Chan Medical School,SRA1616296,04,2024,Mangkalaphiban,"","",W303 PAB1 and PBP1 deletion,KMY11,not applicable,2021-07,"USA: Worcester, MA",Cell culture,replicate 3,"Microbe, viral or environmental"
