Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,cell line,cell type,genotype,treatment,geo_loc_name,collection_date
SRR24150232,43896195,13168858500,150,4010,SRX19948352,GSM7165718,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP432337,PRJNA954956,,"",SRS17296553,SAMN34160201,simple,9606,Homo sapiens,GSM7165718,Sun Yat-Sen University,SRA1622254,10,2023,LIN,primary culture cell,hDC-circRNA1,primary culture cell,Dendritic cells,primary culture cell,antigen-presenting cells,WT,circRNA,missing,missing
SRR24150231,33330160,9999048000,150,3049,SRX19948353,GSM7165719,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP432337,PRJNA954956,,"",SRS17296554,SAMN34160200,simple,9606,Homo sapiens,GSM7165719,Sun Yat-Sen University,SRA1622254,10,2023,LIN,primary culture cell,hDC-circRNA2,primary culture cell,Dendritic cells,primary culture cell,antigen-presenting cells,WT,circRNA,missing,missing
SRR24150230,34144937,10243481100,150,3102,SRX19948354,GSM7165720,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP432337,PRJNA954956,,"",SRS17296555,SAMN34160199,simple,9606,Homo sapiens,GSM7165720,Sun Yat-Sen University,SRA1622254,10,2023,LIN,primary culture cell,hDC-circRNA3,primary culture cell,Dendritic cells,primary culture cell,antigen-presenting cells,WT,circRNA,missing,missing
SRR24150229,25694496,7708348800,150,2335,SRX19948355,GSM7165721,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP432337,PRJNA954956,,"",SRS17296556,SAMN34160198,simple,9606,Homo sapiens,GSM7165721,Sun Yat-Sen University,SRA1622254,10,2023,LIN,primary culture cell,hDC-linearRNA1,primary culture cell,Dendritic cells,primary culture cell,antigen-presenting cells,WT,linearRNA,missing,missing
SRR24150227,23701798,7110539400,150,2150,SRX19948356,GSM7165722,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP432337,PRJNA954956,,"",SRS17296557,SAMN34160197,simple,9606,Homo sapiens,GSM7165722,Sun Yat-Sen University,SRA1622254,10,2023,LIN,primary culture cell,hDC-linearRNA2,primary culture cell,Dendritic cells,primary culture cell,antigen-presenting cells,WT,linearRNA,missing,missing
SRR24150226,31455322,9436596600,150,2885,SRX19948357,GSM7165723,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP432337,PRJNA954956,,"",SRS17296558,SAMN34160196,simple,9606,Homo sapiens,GSM7165723,Sun Yat-Sen University,SRA1622254,10,2023,LIN,primary culture cell,hDC-linearRNA3,primary culture cell,Dendritic cells,primary culture cell,antigen-presenting cells,WT,linearRNA,missing,missing
SRR24150225,28233820,8470146000,150,2576,SRX19948358,GSM7165724,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP432337,PRJNA954956,,"",SRS17296559,SAMN34160195,simple,9606,Homo sapiens,GSM7165724,Sun Yat-Sen University,SRA1622254,10,2023,LIN,primary culture cell,hDC-liposone1,primary culture cell,Dendritic cells,primary culture cell,antigen-presenting cells,WT,liposome,missing,missing
SRR24150228,22712139,6813641700,150,2063,SRX19948359,GSM7165725,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP432337,PRJNA954956,,"",SRS17296560,SAMN34160194,simple,9606,Homo sapiens,GSM7165725,Sun Yat-Sen University,SRA1622254,10,2023,LIN,primary culture cell,hDC-liposone2,primary culture cell,Dendritic cells,primary culture cell,antigen-presenting cells,WT,liposome,missing,missing
SRR24150224,24935717,7480715100,150,2259,SRX19948360,GSM7165726,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP432337,PRJNA954956,,"",SRS17296561,SAMN34160193,simple,9606,Homo sapiens,GSM7165726,Sun Yat-Sen University,SRA1622254,10,2023,LIN,primary culture cell,hDC-liposone3,primary culture cell,Dendritic cells,primary culture cell,antigen-presenting cells,WT,liposome,missing,missing
SRR24150223,28463648,8539094400,150,2596,SRX19948361,GSM7165727,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP432337,PRJNA954956,,"",SRS17296562,SAMN34160192,simple,9606,Homo sapiens,GSM7165727,Sun Yat-Sen University,SRA1622254,10,2023,LIN,primary culture cell,hDC-untreated1-1,primary culture cell,Dendritic cells,primary culture cell,antigen-presenting cells,WT,untreated,missing,missing
SRR24150222,31134260,9340278000,150,2850,SRX19948362,GSM7165728,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP432337,PRJNA954956,,"",SRS17296563,SAMN34160191,simple,9606,Homo sapiens,GSM7165728,Sun Yat-Sen University,SRA1622254,10,2023,LIN,primary culture cell,hDC-untreated2,primary culture cell,Dendritic cells,primary culture cell,antigen-presenting cells,WT,untreated,missing,missing
SRR24150221,24473537,7342061100,150,2232,SRX19948363,GSM7165729,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP432337,PRJNA954956,,"",SRS17296564,SAMN34160190,simple,9606,Homo sapiens,GSM7165729,Sun Yat-Sen University,SRA1622254,10,2023,LIN,primary culture cell,hDC-untreated3,primary culture cell,Dendritic cells,primary culture cell,antigen-presenting cells,WT,untreated,missing,missing
