Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,cell type,genotype,fraction,treatment,geo_loc_name,collection_date
SRR24225722,19042920,5712876000,150,1758,SRX20022016,GSM7187872,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP433553,PRJNA957700,,"",SRS17363043,SAMN34264535,simple,9606,Homo sapiens,GSM7187872,jhmi,SRA1624747,08,2024,Sun,i3Neurons,"i3N, GFP, input, 0min, rep1",i3Neurons,i3Neurons,Day 14 neuron,GFP,polyA RNA,harringtonine 0 min,missing,missing
SRR24225721,15630825,4689247500,150,1448,SRX20022017,GSM7187873,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP433553,PRJNA957700,,"",SRS17363046,SAMN34264534,simple,9606,Homo sapiens,GSM7187873,jhmi,SRA1624747,08,2024,Sun,i3Neurons,"i3N, GR, input, 0min, rep1",i3Neurons,i3Neurons,Day 14 neuron,GR,polyA RNA,harringtonine 0 min,missing,missing
SRR24225720,26763913,8029173900,150,2463,SRX20022018,GSM7187874,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP433553,PRJNA957700,,"",SRS17363044,SAMN34264533,simple,9606,Homo sapiens,GSM7187874,jhmi,SRA1624747,08,2024,Sun,i3Neurons,"i3N, GFP, input, 3min, rep1",i3Neurons,i3Neurons,Day 14 neuron,GFP,polyA RNA,harringtonine 3 min,missing,missing
SRR24225719,10135121,3040536300,150,932,SRX20022019,GSM7187875,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP433553,PRJNA957700,,"",SRS17363045,SAMN34264532,simple,9606,Homo sapiens,GSM7187875,jhmi,SRA1624747,08,2024,Sun,i3Neurons,"i3N, GR, input, 3min, rep1",i3Neurons,i3Neurons,Day 14 neuron,GR,polyA RNA,harringtonine 3 min,missing,missing
SRR24225718,19806825,5942047500,150,1824,SRX20022020,GSM7187876,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP433553,PRJNA957700,,"",SRS17363047,SAMN34264531,simple,9606,Homo sapiens,GSM7187876,jhmi,SRA1624747,08,2024,Sun,i3Neurons,"i3N, GFP, input, 0min, rep2",i3Neurons,i3Neurons,Day 14 neuron,GFP,polyA RNA,harringtonine 0 min,missing,missing
SRR24225717,25950492,7785147600,150,2363,SRX20022021,GSM7187877,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP433553,PRJNA957700,,"",SRS17363048,SAMN34264530,simple,9606,Homo sapiens,GSM7187877,jhmi,SRA1624747,08,2024,Sun,i3Neurons,"i3N, GR, input, 0min, rep2",i3Neurons,i3Neurons,Day 14 neuron,GR,polyA RNA,harringtonine 0 min,missing,missing
SRR24225716,9176333,2752899900,150,845,SRX20022022,GSM7187878,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP433553,PRJNA957700,,"",SRS17363049,SAMN34264529,simple,9606,Homo sapiens,GSM7187878,jhmi,SRA1624747,08,2024,Sun,i3Neurons,"i3N, GFP, input, 3min, rep2",i3Neurons,i3Neurons,Day 14 neuron,GFP,polyA RNA,harringtonine 3 min,missing,missing
SRR24225715,10364789,3109436700,150,960,SRX20022023,GSM7187879,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP433553,PRJNA957700,,"",SRS17363050,SAMN34264528,simple,9606,Homo sapiens,GSM7187879,jhmi,SRA1624747,08,2024,Sun,i3Neurons,"i3N, GR, input, 3min, rep2",i3Neurons,i3Neurons,Day 14 neuron,GR,polyA RNA,harringtonine 3 min,missing,missing
SRR24225714,34455093,10336527900,150,3166,SRX20022024,GSM7187880,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP433553,PRJNA957700,,"",SRS17363052,SAMN34264527,simple,9606,Homo sapiens,GSM7187880,jhmi,SRA1624747,08,2024,Sun,i3Neurons,"i3N, GFP, input, 0min, rep3",i3Neurons,i3Neurons,Day 14 neuron,GFP,polyA RNA,harringtonine 0 min,missing,missing
SRR24225713,25671916,7701574800,150,2370,SRX20022025,GSM7187881,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP433553,PRJNA957700,,"",SRS17363051,SAMN34264526,simple,9606,Homo sapiens,GSM7187881,jhmi,SRA1624747,08,2024,Sun,i3Neurons,"i3N, GR, input, 0min, rep3",i3Neurons,i3Neurons,Day 14 neuron,GR,polyA RNA,harringtonine 0 min,missing,missing
SRR24225712,26307125,7892137500,150,2432,SRX20022026,GSM7187882,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP433553,PRJNA957700,,"",SRS17363053,SAMN34264525,simple,9606,Homo sapiens,GSM7187882,jhmi,SRA1624747,08,2024,Sun,i3Neurons,"i3N, GFP, input, 3min, rep3",i3Neurons,i3Neurons,Day 14 neuron,GFP,polyA RNA,harringtonine 3 min,missing,missing
SRR24225711,30345918,9103775400,150,2752,SRX20022027,GSM7187883,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP433553,PRJNA957700,,"",SRS17363055,SAMN34264524,simple,9606,Homo sapiens,GSM7187883,jhmi,SRA1624747,08,2024,Sun,i3Neurons,"i3N, GR, input, 3min, rep3",i3Neurons,i3Neurons,Day 14 neuron,GR,polyA RNA,harringtonine 3 min,missing,missing
SRR24225710,11842634,3552790200,150,1094,SRX20022028,GSM7187884,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP433553,PRJNA957700,,"",SRS17363054,SAMN34264523,simple,9606,Homo sapiens,GSM7187884,jhmi,SRA1624747,08,2024,Sun,i3Neurons,"i3N, GFP, med, 0min, rep1",i3Neurons,i3Neurons,Day 14 neuron,GFP,polyA RNA associated with 3-7 ribos,harringtonine 0 min,missing,missing
SRR24225709,9983070,2994921000,150,921,SRX20022029,GSM7187885,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP433553,PRJNA957700,,"",SRS17363056,SAMN34264522,simple,9606,Homo sapiens,GSM7187885,jhmi,SRA1624747,08,2024,Sun,i3Neurons,"i3N, GR, med, 0min, rep1",i3Neurons,i3Neurons,Day 14 neuron,GR,polyA RNA associated with 3-7 ribos,harringtonine 0 min,missing,missing
