Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell stage,treatment,replicate,library type,geo_loc_name,collection_date
SRR24230485,68156424,3407821200,50,1313,SRX20027509,GSM7191425,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP433602,PRJNA957808,1,"",SRS17367018,SAMN34268252,simple,9606,Homo sapiens,GSM7191425,"Iain Cheeseman, Biology, Whitehead Institute",SRA1624911,12,2023,Makar,HeLa,Interphase TIS RPF rep 1,HeLa,Interphase,Harringtonine-puromycin,1,Ribosome protected mRNA fragment,missing,missing
SRR24230484,84424056,4221202800,50,1515,SRX20027512,GSM7191426,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP433602,PRJNA957808,1,"",SRS17367019,SAMN34268251,simple,9606,Homo sapiens,GSM7191426,"Iain Cheeseman, Biology, Whitehead Institute",SRA1624911,12,2023,Makar,HeLa,Interphase TIS Input RNA rep 1,HeLa,Interphase,Harringtonine-puromycin,1,mRNA,missing,missing
SRR24230480,37707531,1885376550,50,721,SRX20027515,GSM7191427,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP433602,PRJNA957808,1,"",SRS17367023,SAMN34268250,simple,9606,Homo sapiens,GSM7191427,"Iain Cheeseman, Biology, Whitehead Institute",SRA1624911,12,2023,Makar,HeLa,Interphase elongating RPF rep 1,HeLa,Interphase,Cycloheximide,1,Ribosome protected mRNA fragment,missing,missing
SRR24230479,20441856,1022092800,50,397,SRX20027517,GSM7191428,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP433602,PRJNA957808,1,"",SRS17367020,SAMN34268249,simple,9606,Homo sapiens,GSM7191428,"Iain Cheeseman, Biology, Whitehead Institute",SRA1624911,12,2023,Makar,HeLa,Interphase elongating Input RNA rep 1,HeLa,Interphase,Cycloheximide,1,mRNA,missing,missing
SRR24230481,109906286,5495314300,50,2183,SRX20027519,GSM7191429,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP433602,PRJNA957808,1,"",SRS17367022,SAMN34268248,simple,9606,Homo sapiens,GSM7191429,"Iain Cheeseman, Biology, Whitehead Institute",SRA1624911,12,2023,Makar,HeLa,Interphase TIS RPF rep 2,HeLa,Interphase,Harringtonine-puromycin,2,Ribosome protected mRNA fragment,missing,missing
SRR24230478,23741333,1187066650,50,438,SRX20027521,GSM7191430,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP433602,PRJNA957808,1,"",SRS17367025,SAMN34268247,simple,9606,Homo sapiens,GSM7191430,"Iain Cheeseman, Biology, Whitehead Institute",SRA1624911,12,2023,Makar,HeLa,Interphase TIS Input RNA rep 2,HeLa,Interphase,Harringtonine-puromycin,2,mRNA,missing,missing
SRR24230482,29566755,1478337750,50,589,SRX20027524,GSM7191431,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP433602,PRJNA957808,1,"",SRS17367027,SAMN34268246,simple,9606,Homo sapiens,GSM7191431,"Iain Cheeseman, Biology, Whitehead Institute",SRA1624911,12,2023,Makar,HeLa,Interphase elongating RPF rep 2,HeLa,Interphase,Cycloheximide,2,Ribosome protected mRNA fragment,missing,missing
SRR24230477,18206250,910312500,50,340,SRX20027527,GSM7191432,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP433602,PRJNA957808,1,"",SRS17367031,SAMN34268245,simple,9606,Homo sapiens,GSM7191432,"Iain Cheeseman, Biology, Whitehead Institute",SRA1624911,12,2023,Makar,HeLa,Interphase elongating Input RNA rep 2,HeLa,Interphase,Cycloheximide,2,mRNA,missing,missing
SRR24230483,77743755,3887187750,50,1498,SRX20027530,GSM7191433,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP433602,PRJNA957808,1,"",SRS17367033,SAMN34268244,simple,9606,Homo sapiens,GSM7191433,"Iain Cheeseman, Biology, Whitehead Institute",SRA1624911,12,2023,Makar,HeLa,MitoticArrest TIS RPF rep 1,HeLa,Mitotic Arrest,Harringtonine-puromycin,1,Ribosome protected mRNA fragment,missing,missing
SRR24230476,15189209,759460450,50,281,SRX20027533,GSM7191434,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP433602,PRJNA957808,1,"",SRS17367037,SAMN34268243,simple,9606,Homo sapiens,GSM7191434,"Iain Cheeseman, Biology, Whitehead Institute",SRA1624911,12,2023,Makar,HeLa,MitoticArrest TIS Input RNA rep 1,HeLa,Mitotic Arrest,Harringtonine-puromycin,1,mRNA,missing,missing
SRR24230472,24964060,1248203000,50,455,SRX20027536,GSM7191436,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP433602,PRJNA957808,1,"",SRS17367041,SAMN34268241,simple,9606,Homo sapiens,GSM7191436,"Iain Cheeseman, Biology, Whitehead Institute",SRA1624911,12,2023,Makar,HeLa,MitoticArrest elongating Input RNA rep 1,HeLa,Mitotic Arrest,Cycloheximide,1,mRNA,missing,missing
SRR24230471,34771908,1738595400,50,667,SRX20027539,GSM7191435,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP433602,PRJNA957808,1,"",SRS17367043,SAMN34268242,simple,9606,Homo sapiens,GSM7191435,"Iain Cheeseman, Biology, Whitehead Institute",SRA1624911,12,2023,Makar,HeLa,MitoticArrest elongating RPF rep 1,HeLa,Mitotic Arrest,Cycloheximide,1,Ribosome protected mRNA fragment,missing,missing
SRR24230470,89395259,4469762950,50,1797,SRX20027542,GSM7191437,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP433602,PRJNA957808,1,"",SRS17367046,SAMN34268240,simple,9606,Homo sapiens,GSM7191437,"Iain Cheeseman, Biology, Whitehead Institute",SRA1624911,12,2023,Makar,HeLa,MitoticArrest TIS RPF rep 2,HeLa,Mitotic Arrest,Harringtonine-puromycin,2,Ribosome protected mRNA fragment,missing,missing
SRR24230473,9857957,492897850,50,184,SRX20027545,GSM7191438,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP433602,PRJNA957808,1,"",SRS17367050,SAMN34268239,simple,9606,Homo sapiens,GSM7191438,"Iain Cheeseman, Biology, Whitehead Institute",SRA1624911,12,2023,Makar,HeLa,MitoticArrest TIS Input RNA rep 2,HeLa,Mitotic Arrest,Harringtonine-puromycin,2,mRNA,missing,missing
SRR24230469,35151182,1757559100,50,717,SRX20027548,GSM7191439,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP433602,PRJNA957808,1,"",SRS17367051,SAMN34268238,simple,9606,Homo sapiens,GSM7191439,"Iain Cheeseman, Biology, Whitehead Institute",SRA1624911,12,2023,Makar,HeLa,MitoticArrest elongating RPF rep 2,HeLa,Mitotic Arrest,Cycloheximide,2,Ribosome protected mRNA fragment,missing,missing
SRR24230474,16124324,806216200,50,298,SRX20027550,GSM7191440,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP433602,PRJNA957808,1,"",SRS17367053,SAMN34268237,simple,9606,Homo sapiens,GSM7191440,"Iain Cheeseman, Biology, Whitehead Institute",SRA1624911,12,2023,Makar,HeLa,MitoticArrest elongating Input RNA rep 2,HeLa,Mitotic Arrest,Cycloheximide,2,mRNA,missing,missing
