Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,medium,treatment,fraction,biol replicate,tech replicate,strain,geo_loc_name,collection_date
SRR24302095,29628236,1511040036,51,477,SRX20097270,GSM7226565,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP434425,PRJNA961729,,"",SRS17428847,SAMN34369188,simple,1902,Streptomyces coelicolor,GSM7226565,"School of Applied Science, University of Brighton",SRA1627359,02,2024,Evans,A3(2) MT1110,"S. coelicolor A3(2) grown in liquid SMM medium, control, 0 min, RPF fraction, biol replicate 1, tech replicate 1",A3(2) MT1110,SMM,control,RPF,1,1,A3(2) MT1110,missing,missing
SRR24302094,26409130,1346865630,51,413,SRX20097271,GSM7226566,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP434425,PRJNA961729,,"",SRS17428848,SAMN34369187,simple,1902,Streptomyces coelicolor,GSM7226566,"School of Applied Science, University of Brighton",SRA1627359,02,2024,Evans,A3(2) MT1110,"S. coelicolor A3(2) grown in liquid SMM medium, control, 0 min, RPF fraction, biol replicate 2, tech replicate 1",A3(2) MT1110,SMM,control,RPF,2,1,A3(2) MT1110,missing,missing
SRR24302093,19064981,972314031,51,307,SRX20097272,GSM7226567,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP434425,PRJNA961729,,"",SRS17428849,SAMN34369186,simple,1902,Streptomyces coelicolor,GSM7226567,"School of Applied Science, University of Brighton",SRA1627359,02,2024,Evans,A3(2) MT1110,"S. coelicolor A3(2) grown in liquid SMM medium, control, 120 min, RPF fraction, biol replicate 1, tech replicate 1",A3(2) MT1110,SMM,control,RPF,1,1,A3(2) MT1110,missing,missing
SRR24302092,19677612,1003558212,51,336,SRX20097273,GSM7226568,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP434425,PRJNA961729,,"",SRS17428852,SAMN34369185,simple,1902,Streptomyces coelicolor,GSM7226568,"School of Applied Science, University of Brighton",SRA1627359,02,2024,Evans,A3(2) MT1110,"S. coelicolor A3(2) grown in liquid SMM medium, control, 120 min, RPF fraction, biol replicate 2, tech replicate 1",A3(2) MT1110,SMM,control,RPF,2,1,A3(2) MT1110,missing,missing
SRR24302091,28441629,1450523079,51,481,SRX20097274,GSM7226569,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP434425,PRJNA961729,,"",SRS17428850,SAMN34369184,simple,1902,Streptomyces coelicolor,GSM7226569,"School of Applied Science, University of Brighton",SRA1627359,02,2024,Evans,A3(2) MT1110,"S. coelicolor A3(2) grown in liquid SMM medium, cold-shock, 120 min, RPF fraction, biol replicate 1, tech replicate 1",A3(2) MT1110,SMM,cold-shock,RPF,1,1,A3(2) MT1110,missing,missing
SRR24302090,29237669,1491121119,51,493,SRX20097275,GSM7226570,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP434425,PRJNA961729,,"",SRS17428851,SAMN34369183,simple,1902,Streptomyces coelicolor,GSM7226570,"School of Applied Science, University of Brighton",SRA1627359,02,2024,Evans,A3(2) MT1110,"S. coelicolor A3(2) grown in liquid SMM medium, cold-shock, 120 min, RPF fraction, biol replicate 2, tech replicate 1",A3(2) MT1110,SMM,cold-shock,RPF,2,1,A3(2) MT1110,missing,missing
SRR24302089,23441684,1195525884,51,394,SRX20097276,GSM7226571,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP434425,PRJNA961729,,"",SRS17428853,SAMN34369182,simple,1902,Streptomyces coelicolor,GSM7226571,"School of Applied Science, University of Brighton",SRA1627359,02,2024,Evans,A3(2) MT1110,"S. coelicolor A3(2) grown in liquid SMM medium, control, 0 min, RPF fraction, biol replicate 1, tech replicate 2",A3(2) MT1110,SMM,control,RPF,1,2,A3(2) MT1110,missing,missing
SRR24302088,21479010,1095429510,51,352,SRX20097277,GSM7226572,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP434425,PRJNA961729,,"",SRS17428855,SAMN34369181,simple,1902,Streptomyces coelicolor,GSM7226572,"School of Applied Science, University of Brighton",SRA1627359,02,2024,Evans,A3(2) MT1110,"S. coelicolor A3(2) grown in liquid SMM medium, control, 0 min, RPF fraction, biol replicate 2, tech replicate 2",A3(2) MT1110,SMM,control,RPF,2,2,A3(2) MT1110,missing,missing
SRR24302087,21630037,1103131887,51,359,SRX20097278,GSM7226573,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP434425,PRJNA961729,,"",SRS17428854,SAMN34369180,simple,1902,Streptomyces coelicolor,GSM7226573,"School of Applied Science, University of Brighton",SRA1627359,02,2024,Evans,A3(2) MT1110,"S. coelicolor A3(2) grown in liquid SMM medium, control, 120 min, RPF fraction, biol replicate 1, tech replicate 2",A3(2) MT1110,SMM,control,RPF,1,2,A3(2) MT1110,missing,missing
SRR24302086,19453380,992122380,51,315,SRX20097279,GSM7226574,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP434425,PRJNA961729,,"",SRS17428856,SAMN34369179,simple,1902,Streptomyces coelicolor,GSM7226574,"School of Applied Science, University of Brighton",SRA1627359,02,2024,Evans,A3(2) MT1110,"S. coelicolor A3(2) grown in liquid SMM medium, control, 120 min, RPF fraction, biol replicate 2, tech replicate 2",A3(2) MT1110,SMM,control,RPF,2,2,A3(2) MT1110,missing,missing
