Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,treatment,treatment,geo_loc_name,collection_date
SRR24520412,67276669,18103718001,134,6288,SRX20304617,GSM7329713,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP437372,PRJNA971898,,"",SRS17629754,SAMN35056836,simple,9606,Homo sapiens,GSM7329713,"RNA Systems Biochemistry Lab, Cluster for Pioneering Research, RIKEN",SRA1637521,02,2024,Iwasaki,HEK293 Flp-In T-Rex,RNASeq_Cas13_control_biol_rep_1,HEK293 Flp-In T-Rex,HEK293 Flp-In T-Rex,tetracycline,plasmid transfection (Cas13 + control gRNA expressing plasmid),missing,missing
SRR24520411,65316571,18209878047,139,6381,SRX20304618,GSM7329714,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP437372,PRJNA971898,,"",SRS17629755,SAMN35056835,simple,9606,Homo sapiens,GSM7329714,"RNA Systems Biochemistry Lab, Cluster for Pioneering Research, RIKEN",SRA1637521,02,2024,Iwasaki,HEK293 Flp-In T-Rex,RNASeq_Cas13_control_biol_rep_2,HEK293 Flp-In T-Rex,HEK293 Flp-In T-Rex,tetracycline,plasmid transfection (Cas13 + control gRNA expressing plasmid),missing,missing
SRR24520410,52541734,14019076020,133,4870,SRX20304619,GSM7329715,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP437372,PRJNA971898,,"",SRS17629756,SAMN35056834,simple,9606,Homo sapiens,GSM7329715,"RNA Systems Biochemistry Lab, Cluster for Pioneering Research, RIKEN",SRA1637521,02,2024,Iwasaki,HEK293 Flp-In T-Rex,RNASeq_Cas13_AUG_target_biol_rep_1,HEK293 Flp-In T-Rex,HEK293 Flp-In T-Rex,tetracycline,plasmid transfection (Cas13 + target gRNA expressing plasmid),missing,missing
SRR24520409,48404632,12064738148,124,4227,SRX20304620,GSM7329716,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP437372,PRJNA971898,,"",SRS17629757,SAMN35056833,simple,9606,Homo sapiens,GSM7329716,"RNA Systems Biochemistry Lab, Cluster for Pioneering Research, RIKEN",SRA1637521,02,2024,Iwasaki,HEK293 Flp-In T-Rex,RNASeq_Cas13_AUG_target_biol_rep_2,HEK293 Flp-In T-Rex,HEK293 Flp-In T-Rex,tetracycline,plasmid transfection (Cas13 + target gRNA expressing plasmid),missing,missing
SRR24520407,53846707,14404664637,133,5024,SRX20304621,GSM7329717,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP437372,PRJNA971898,,"",SRS17629759,SAMN35056832,simple,9606,Homo sapiens,GSM7329717,"RNA Systems Biochemistry Lab, Cluster for Pioneering Research, RIKEN",SRA1637521,02,2024,Iwasaki,HEK293 Flp-In T-Rex,RNASeq_dCas13_control_biol_rep_1,HEK293 Flp-In T-Rex,HEK293 Flp-In T-Rex,tetracycline,plasmid transfection (dCas13 + control gRNA expressing plasmid),missing,missing
SRR24520406,59385771,16331403449,137,5670,SRX20304622,GSM7329718,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP437372,PRJNA971898,,"",SRS17629758,SAMN35056831,simple,9606,Homo sapiens,GSM7329718,"RNA Systems Biochemistry Lab, Cluster for Pioneering Research, RIKEN",SRA1637521,02,2024,Iwasaki,HEK293 Flp-In T-Rex,RNASeq_dCas13_control_biol_rep_2,HEK293 Flp-In T-Rex,HEK293 Flp-In T-Rex,tetracycline,plasmid transfection (dCas13 + control gRNA expressing plasmid),missing,missing
SRR24520405,55171053,14949221536,135,5210,SRX20304623,GSM7329719,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP437372,PRJNA971898,,"",SRS17629760,SAMN35056830,simple,9606,Homo sapiens,GSM7329719,"RNA Systems Biochemistry Lab, Cluster for Pioneering Research, RIKEN",SRA1637521,02,2024,Iwasaki,HEK293 Flp-In T-Rex,RNASeq_dCas13_AUG_target_biol_rep_1,HEK293 Flp-In T-Rex,HEK293 Flp-In T-Rex,tetracycline,plasmid transfection (dCas13 + target gRNA expressing plasmid),missing,missing
SRR24520408,112333625,31988323027,142,11320,SRX20304624,GSM7329720,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP437372,PRJNA971898,,"",SRS17629761,SAMN35056829,simple,9606,Homo sapiens,GSM7329720,"RNA Systems Biochemistry Lab, Cluster for Pioneering Research, RIKEN",SRA1637521,02,2024,Iwasaki,HEK293 Flp-In T-Rex,RNASeq_dCas13_AUG_target_biol_rep_2,HEK293 Flp-In T-Rex,HEK293 Flp-In T-Rex,tetracycline,plasmid transfection (dCas13 +target gRNA expressing plasmid),missing,missing
SRR24520404,19958214,527023368,26,247,SRX20304625,GSM7329721,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP437372,PRJNA971898,,"",SRS17629762,SAMN35056828,simple,9606,Homo sapiens,GSM7329721,"RNA Systems Biochemistry Lab, Cluster for Pioneering Research, RIKEN",SRA1637521,02,2024,Iwasaki,HEK293 Flp-In T-Rex,RP_Cas13_control_biol_rep_1,HEK293 Flp-In T-Rex,HEK293 Flp-In T-Rex,tetracycline,plasmid transfection (Cas13 + control gRNA expressing plasmid),missing,missing
SRR24520403,29257126,794630165,27,367,SRX20304626,GSM7329722,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP437372,PRJNA971898,,"",SRS17629763,SAMN35056827,simple,9606,Homo sapiens,GSM7329722,"RNA Systems Biochemistry Lab, Cluster for Pioneering Research, RIKEN",SRA1637521,02,2024,Iwasaki,HEK293 Flp-In T-Rex,RP_Cas13_control_biol_rep_2,HEK293 Flp-In T-Rex,HEK293 Flp-In T-Rex,tetracycline,plasmid transfection (Cas13 + control gRNA expressing plasmid),missing,missing
