Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,genotype,treatment,geo_loc_name,collection_date,molecule subtype
SRR24525373,22082572,1098673744,49,396,SRX20309578,GSM7329881,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP437430,PRJNA971919,1,"",SRS17634054,SAMN35061565,simple,7227,Drosophila melanogaster,GSM7329881,"LGG, National Institute of Aging",SRA1637486,11,2023,Makar,eye discs,eyeRNA_WT1,eye discs,eye discs,ey-GAL4/+,"flies maintained at 25oC, eye discs with mouth hooks were dissected from late L3 larvae.",missing,missing,
SRR24525372,5322132,532213200,50,164,SRX20309579,GSM7329882,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP437430,PRJNA971919,1,"",SRS17634055,SAMN35061564,simple,7227,Drosophila melanogaster,GSM7329882,"LGG, National Institute of Aging",SRA1637486,11,2023,Makar,eye discs,eyeRNA_WT2,eye discs,eye discs,ey-GAL4/+,"flies maintained at 25oC, eye discs with mouth hooks were dissected from late L3 larvae.",missing,missing,
SRR24525371,4868736,486873600,50,150,SRX20309580,GSM7329883,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 2000,SRP437430,PRJNA971919,1,"",SRS17634056,SAMN35061563,simple,7227,Drosophila melanogaster,GSM7329883,"LGG, National Institute of Aging",SRA1637486,11,2023,Makar,eye discs,eyeRNA_WT3,eye discs,eye discs,ey-GAL4/+,"flies maintained at 25oC, eye discs with mouth hooks were dissected from late L3 larvae.",missing,missing,
SRR24525370,23107483,1150552995,49,418,SRX20309581,GSM7329884,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 2000,SRP437430,PRJNA971919,1,"",SRS17634057,SAMN35061562,simple,7227,Drosophila melanogaster,GSM7329884,"LGG, National Institute of Aging",SRA1637486,11,2023,Makar,eye discs,eyeRNA_nocteRNAi1,eye discs,eye discs,"ey-GAL4, UAS-nocte-RNAi","flies maintained at 25oC, eye discs with mouth hooks were dissected from late L3 larvae.",missing,missing,
SRR24525369,4816298,481629800,50,149,SRX20309582,GSM7329885,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 2000,SRP437430,PRJNA971919,1,"",SRS17634058,SAMN35061561,simple,7227,Drosophila melanogaster,GSM7329885,"LGG, National Institute of Aging",SRA1637486,11,2023,Makar,eye discs,eyeRNA_nocteRNAi2,eye discs,eye discs,"ey-GAL4, UAS-nocte-RNAi","flies maintained at 25oC, eye discs with mouth hooks were dissected from late L3 larvae.",missing,missing,
SRR24525368,5755620,575562000,50,178,SRX20309583,GSM7329886,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 2000,SRP437430,PRJNA971919,1,"",SRS17634060,SAMN35061560,simple,7227,Drosophila melanogaster,GSM7329886,"LGG, National Institute of Aging",SRA1637486,11,2023,Makar,eye discs,eyeRNA_nocteRNAi3,eye discs,eye discs,"ey-GAL4, UAS-nocte-RNAi","flies maintained at 25oC, eye discs with mouth hooks were dissected from late L3 larvae.",missing,missing,
SRR24525367,9842572,492128600,50,148,SRX20309584,GSM7329887,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 2000,SRP437430,PRJNA971919,1,"",SRS17634059,SAMN35061559,simple,7227,Drosophila melanogaster,GSM7329887,"LGG, National Institute of Aging",SRA1637486,11,2023,Makar,eye discs,eyeRibo_WT1,eye discs,eye discs,ey-GAL4/+,"flies maintained at 25oC, eye discs with mouth hooks were dissected from late L3 larvae.",missing,missing,ribosome bound RNA fragments
SRR24525366,9444673,585569726,62,170,SRX20309585,GSM7329888,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP437430,PRJNA971919,1,"",SRS17634061,SAMN35061558,simple,7227,Drosophila melanogaster,GSM7329888,"LGG, National Institute of Aging",SRA1637486,11,2023,Makar,eye discs,eyeRibo_WT2,eye discs,eye discs,ey-GAL4/+,"flies maintained at 25oC, eye discs with mouth hooks were dissected from late L3 larvae.",missing,missing,ribosome bound RNA fragments
SRR24525365,8383659,519786858,62,148,SRX20309586,GSM7329889,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP437430,PRJNA971919,1,"",SRS17634062,SAMN35061557,simple,7227,Drosophila melanogaster,GSM7329889,"LGG, National Institute of Aging",SRA1637486,11,2023,Makar,eye discs,eyeRibo_WT3,eye discs,eye discs,ey-GAL4/+,"flies maintained at 25oC, eye discs with mouth hooks were dissected from late L3 larvae.",missing,missing,ribosome bound RNA fragments
SRR24525364,10020188,501009400,50,151,SRX20309587,GSM7329890,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 2000,SRP437430,PRJNA971919,1,"",SRS17634063,SAMN35061556,simple,7227,Drosophila melanogaster,GSM7329890,"LGG, National Institute of Aging",SRA1637486,11,2023,Makar,eye discs,eyeRibo_nocteRNAi1,eye discs,eye discs,"ey-GAL4, UAS-nocte-RNAi","flies maintained at 25oC, eye discs with mouth hooks were dissected from late L3 larvae.",missing,missing,ribosome bound RNA fragments
