Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,geo_loc_name,collection_date
SRR24719336,29207510,2745505940,43,875,SRX20497377,GSM7421806,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP439295,PRJNA975827,,"",SRS17807070,SAMN35345242,simple,208963,Pseudomonas aeruginosa UCBPP-PA14,GSM7421806,"Molecular Bacteriology, Twincore",SRA1643596,02,2024,Häußler,UCBPP-PA14,RNASeq of Pseudomonas aeruginosa UCBPP-PA14 tngidA 1,UCBPP-PA14,UCBPP-PA14,missing,missing
SRR24719335,34919254,3282409876,43,1042,SRX20497378,GSM7421807,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP439295,PRJNA975827,,"",SRS17807069,SAMN35345241,simple,208963,Pseudomonas aeruginosa UCBPP-PA14,GSM7421807,"Molecular Bacteriology, Twincore",SRA1643596,02,2024,Häußler,UCBPP-PA14,RNASeq of Pseudomonas aeruginosa UCBPP-PA14 tngidA 2,UCBPP-PA14,UCBPP-PA14,missing,missing
SRR24719334,27142049,2551352606,43,814,SRX20497379,GSM7421808,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP439295,PRJNA975827,,"",SRS17807071,SAMN35345240,simple,208963,Pseudomonas aeruginosa UCBPP-PA14,GSM7421808,"Molecular Bacteriology, Twincore",SRA1643596,02,2024,Häußler,UCBPP-PA14,RNASeq of Pseudomonas aeruginosa UCBPP-PA14 tngidA 3,UCBPP-PA14,UCBPP-PA14,missing,missing
SRR24719333,36017546,3385649324,43,1075,SRX20497380,GSM7421809,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP439295,PRJNA975827,,"",SRS17807072,SAMN35345239,simple,208963,Pseudomonas aeruginosa UCBPP-PA14,GSM7421809,"Molecular Bacteriology, Twincore",SRA1643596,02,2024,Häußler,UCBPP-PA14,RNASeq of Pseudomonas aeruginosa UCBPP-PA14 tnladS 1,UCBPP-PA14,UCBPP-PA14,missing,missing
SRR24719332,21289841,2001245054,43,641,SRX20497381,GSM7421810,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP439295,PRJNA975827,,"",SRS17807076,SAMN35345238,simple,208963,Pseudomonas aeruginosa UCBPP-PA14,GSM7421810,"Molecular Bacteriology, Twincore",SRA1643596,02,2024,Häußler,UCBPP-PA14,RNASeq of Pseudomonas aeruginosa UCBPP-PA14 tnladS 2,UCBPP-PA14,UCBPP-PA14,missing,missing
SRR24719331,24825234,2333571996,43,742,SRX20497382,GSM7421811,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP439295,PRJNA975827,,"",SRS17807073,SAMN35345237,simple,208963,Pseudomonas aeruginosa UCBPP-PA14,GSM7421811,"Molecular Bacteriology, Twincore",SRA1643596,02,2024,Häußler,UCBPP-PA14,RNASeq of Pseudomonas aeruginosa UCBPP-PA14 tnladS 3,UCBPP-PA14,UCBPP-PA14,missing,missing
SRR24719330,40817185,4163352870,51,1243,SRX20497383,GSM7421812,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP439295,PRJNA975827,,"",SRS17807074,SAMN35345236,simple,208963,Pseudomonas aeruginosa UCBPP-PA14,GSM7421812,"Molecular Bacteriology, Twincore",SRA1643596,02,2024,Häußler,UCBPP-PA14,RiboSeq of Pseudomonas aeruginosa UCBPP-PA14 tngidA 1,UCBPP-PA14,UCBPP-PA14,missing,missing
SRR24719329,42003608,4284368016,51,1276,SRX20497384,GSM7421813,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP439295,PRJNA975827,,"",SRS17807075,SAMN35345235,simple,208963,Pseudomonas aeruginosa UCBPP-PA14,GSM7421813,"Molecular Bacteriology, Twincore",SRA1643596,02,2024,Häußler,UCBPP-PA14,RiboSeq of Pseudomonas aeruginosa UCBPP-PA14 tngidA 2,UCBPP-PA14,UCBPP-PA14,missing,missing
SRR24719328,41976950,4281648900,51,1268,SRX20497385,GSM7421814,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP439295,PRJNA975827,,"",SRS17807077,SAMN35345234,simple,208963,Pseudomonas aeruginosa UCBPP-PA14,GSM7421814,"Molecular Bacteriology, Twincore",SRA1643596,02,2024,Häußler,UCBPP-PA14,RiboSeq of Pseudomonas aeruginosa UCBPP-PA14 tngidA 3,UCBPP-PA14,UCBPP-PA14,missing,missing
SRR24719327,40066743,4086807786,51,1225,SRX20497386,GSM7421815,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP439295,PRJNA975827,,"",SRS17807079,SAMN35345233,simple,208963,Pseudomonas aeruginosa UCBPP-PA14,GSM7421815,"Molecular Bacteriology, Twincore",SRA1643596,02,2024,Häußler,UCBPP-PA14,RiboSeq of Pseudomonas aeruginosa UCBPP-PA14 tnladS 1,UCBPP-PA14,UCBPP-PA14,missing,missing
