Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,genotype,treatment,geo_loc_name,collection_date,cell type
SRR24766001,42520538,12756161400,150,3890,SRX20541179,GSM7433483,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP440202,PRJNA977673,1,"",SRS17848340,SAMN35531828,simple,9606,Homo sapiens,GSM7433483,"Department of Cardiology, School of Medicine, Southeast University",SRA1646545,10,2023,Makar,heart ventricular tissue,Myocardial hypertrophy_IP_5,heart ventricular tissue,heart ventricular tissue,Myocardial hypertrophy,Myocardial hypertrophy,missing,missing,
SRR24766000,44196405,13258921500,150,3947,SRX20541180,GSM7433473,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP440202,PRJNA977673,1,"",SRS17848341,SAMN35531838,simple,9606,Homo sapiens,GSM7433473,"Department of Cardiology, School of Medicine, Southeast University",SRA1646545,10,2023,Makar,heart ventricular tissue,Non-myocardial hypertrophy_IP_1,heart ventricular tissue,heart ventricular tissue,Non-myocardial hypertrophy,Non-myocardial hypertrophy,missing,missing,
SRR24765999,44174659,13252397700,150,3991,SRX20541181,GSM7433474,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP440202,PRJNA977673,1,"",SRS17848342,SAMN35531837,simple,9606,Homo sapiens,GSM7433474,"Department of Cardiology, School of Medicine, Southeast University",SRA1646545,10,2023,Makar,heart ventricular tissue,Non-myocardial hypertrophy_IP_2,heart ventricular tissue,heart ventricular tissue,Non-myocardial hypertrophy,Non-myocardial hypertrophy,missing,missing,
SRR24765998,42660483,12798144900,150,3863,SRX20541182,GSM7433475,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP440202,PRJNA977673,1,"",SRS17848343,SAMN35531836,simple,9606,Homo sapiens,GSM7433475,"Department of Cardiology, School of Medicine, Southeast University",SRA1646545,10,2023,Makar,heart ventricular tissue,Non-myocardial hypertrophy_IP_3,heart ventricular tissue,heart ventricular tissue,Non-myocardial hypertrophy,Non-myocardial hypertrophy,missing,missing,
SRR24765997,45748401,13724520300,150,4146,SRX20541183,GSM7433476,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP440202,PRJNA977673,1,"",SRS17848344,SAMN35531835,simple,9606,Homo sapiens,GSM7433476,"Department of Cardiology, School of Medicine, Southeast University",SRA1646545,10,2023,Makar,heart ventricular tissue,Myocardial hypertrophy_IP_1,heart ventricular tissue,heart ventricular tissue,Myocardial hypertrophy,Myocardial hypertrophy,missing,missing,
SRR24765996,40801985,12240595500,150,3707,SRX20541184,GSM7433477,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP440202,PRJNA977673,1,"",SRS17848346,SAMN35531834,simple,9606,Homo sapiens,GSM7433477,"Department of Cardiology, School of Medicine, Southeast University",SRA1646545,10,2023,Makar,heart ventricular tissue,Myocardial hypertrophy_IP_2,heart ventricular tissue,heart ventricular tissue,Myocardial hypertrophy,Myocardial hypertrophy,missing,missing,
SRR24765995,43230255,12969076500,150,3934,SRX20541185,GSM7433478,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP440202,PRJNA977673,1,"",SRS17848345,SAMN35531833,simple,9606,Homo sapiens,GSM7433478,"Department of Cardiology, School of Medicine, Southeast University",SRA1646545,10,2023,Makar,heart ventricular tissue,Myocardial hypertrophy_IP_3,heart ventricular tissue,heart ventricular tissue,Myocardial hypertrophy,Myocardial hypertrophy,missing,missing,
SRR24765994,42153561,12646068300,150,3902,SRX20541186,GSM7433479,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP440202,PRJNA977673,1,"",SRS17848347,SAMN35531832,simple,9606,Homo sapiens,GSM7433479,"Department of Cardiology, School of Medicine, Southeast University",SRA1646545,10,2023,Makar,heart ventricular tissue,Non-myocardial hypertrophy_IP_4,heart ventricular tissue,heart ventricular tissue,Non-myocardial hypertrophy,Non-myocardial hypertrophy,missing,missing,
SRR24765993,43014317,12904295100,150,4075,SRX20541187,GSM7433480,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP440202,PRJNA977673,1,"",SRS17848348,SAMN35531831,simple,9606,Homo sapiens,GSM7433480,"Department of Cardiology, School of Medicine, Southeast University",SRA1646545,10,2023,Makar,heart ventricular tissue,Non-myocardial hypertrophy_IP_5,heart ventricular tissue,heart ventricular tissue,Non-myocardial hypertrophy,Non-myocardial hypertrophy,missing,missing,
SRR24765992,41331355,12399406500,150,3960,SRX20541188,GSM7433481,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP440202,PRJNA977673,1,"",SRS17848349,SAMN35531830,simple,9606,Homo sapiens,GSM7433481,"Department of Cardiology, School of Medicine, Southeast University",SRA1646545,10,2023,Makar,heart ventricular tissue,Non-myocardial hypertrophy_IP_6,heart ventricular tissue,heart ventricular tissue,Non-myocardial hypertrophy,Non-myocardial hypertrophy,missing,missing,
SRR24765991,41455112,12436533600,150,3858,SRX20541189,GSM7433482,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP440202,PRJNA977673,1,"",SRS17848350,SAMN35531829,simple,9606,Homo sapiens,GSM7433482,"Department of Cardiology, School of Medicine, Southeast University",SRA1646545,10,2023,Makar,heart ventricular tissue,Myocardial hypertrophy_IP_4,heart ventricular tissue,heart ventricular tissue,Myocardial hypertrophy,Myocardial hypertrophy,missing,missing,
SRR24765990,42153769,12646130700,150,3989,SRX20541190,GSM7433484,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP440202,PRJNA977673,1,"",SRS17848351,SAMN35531827,simple,9606,Homo sapiens,GSM7433484,"Department of Cardiology, School of Medicine, Southeast University",SRA1646545,10,2023,Makar,heart ventricular tissue,Myocardial hypertrophy_IP_6,heart ventricular tissue,heart ventricular tissue,Myocardial hypertrophy,Myocardial hypertrophy,missing,missing,
SRR24765989,45356690,13607007000,150,4115,SRX20541191,GSM7433485,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP440202,PRJNA977673,1,"",SRS17848353,SAMN35531826,simple,9606,Homo sapiens,GSM7433485,"Department of Cardiology, School of Medicine, Southeast University",SRA1646545,10,2023,Makar,heart ventricular tissue,Non-myocardial hypertrophy_input_1,heart ventricular tissue,heart ventricular tissue,Non-myocardial hypertrophy,Non-myocardial hypertrophy,missing,missing,
SRR24765988,42491976,12747592800,150,3852,SRX20541192,GSM7433486,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP440202,PRJNA977673,1,"",SRS17848352,SAMN35531825,simple,9606,Homo sapiens,GSM7433486,"Department of Cardiology, School of Medicine, Southeast University",SRA1646545,10,2023,Makar,heart ventricular tissue,Non-myocardial hypertrophy_input_2,heart ventricular tissue,heart ventricular tissue,Non-myocardial hypertrophy,Non-myocardial hypertrophy,missing,missing,
SRR24765987,47628419,14288525700,150,4337,SRX20541193,GSM7433487,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP440202,PRJNA977673,1,"",SRS17848354,SAMN35531824,simple,9606,Homo sapiens,GSM7433487,"Department of Cardiology, School of Medicine, Southeast University",SRA1646545,10,2023,Makar,heart ventricular tissue,Non-myocardial hypertrophy_input_3,heart ventricular tissue,heart ventricular tissue,Non-myocardial hypertrophy,Non-myocardial hypertrophy,missing,missing,
SRR24765986,46695395,14008618500,150,4242,SRX20541194,GSM7433488,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP440202,PRJNA977673,1,"",SRS17848355,SAMN35531823,simple,9606,Homo sapiens,GSM7433488,"Department of Cardiology, School of Medicine, Southeast University",SRA1646545,10,2023,Makar,heart ventricular tissue,Myocardial hypertrophy_input_1,heart ventricular tissue,heart ventricular tissue,Myocardial hypertrophy,Myocardial hypertrophy,missing,missing,
SRR24765985,112921039,8469077925,75,2499,SRX20541195,GSM7433521,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP440202,PRJNA977673,1,"",SRS17848357,SAMN35531790,simple,10090,Mus musculus,GSM7433521,"Department of Cardiology, School of Medicine, Southeast University",SRA1646545,10,2023,Makar,heart ventricular tissue,Sham_Ribo_3,heart ventricular tissue,heart ventricular tissue,Sham,Sham,missing,missing,
SRR24765957,95125563,7134417225,75,2082,SRX20541196,GSM7433522,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP440202,PRJNA977673,1,"",SRS17848356,SAMN35531789,simple,10090,Mus musculus,GSM7433522,"Department of Cardiology, School of Medicine, Southeast University",SRA1646545,10,2023,Makar,heart ventricular tissue,AngII_Ribo_1,heart ventricular tissue,heart ventricular tissue,AngII,AngII,missing,missing,
SRR24765984,111712785,8378458875,75,2457,SRX20541197,GSM7433523,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP440202,PRJNA977673,1,"",SRS17848359,SAMN35531788,simple,10090,Mus musculus,GSM7433523,"Department of Cardiology, School of Medicine, Southeast University",SRA1646545,10,2023,Makar,heart ventricular tissue,AngII_Ribo_2,heart ventricular tissue,heart ventricular tissue,AngII,AngII,missing,missing,
SRR24765958,92123274,6909245550,75,2023,SRX20541198,GSM7433524,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP440202,PRJNA977673,1,"",SRS17848358,SAMN35531787,simple,10090,Mus musculus,GSM7433524,"Department of Cardiology, School of Medicine, Southeast University",SRA1646545,10,2023,Makar,heart ventricular tissue,AngII_Ribo_3,heart ventricular tissue,heart ventricular tissue,AngII,AngII,missing,missing,
SRR24765983,142251867,10668890025,75,3167,SRX20541199,GSM7433525,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP440202,PRJNA977673,1,"",SRS17848360,SAMN35531786,simple,10090,Mus musculus,GSM7433525,"Department of Cardiology, School of Medicine, Southeast University",SRA1646545,10,2023,Makar,heart ventricular tissue,AngII+Si-NAT10_Ribo_1,heart ventricular tissue,heart ventricular tissue,AngII+Si-NAT10,AngII+Si-NAT10,missing,missing,
SRR24765959,135628191,10172114325,75,3006,SRX20541200,GSM7433526,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP440202,PRJNA977673,1,"",SRS17848361,SAMN35531785,simple,10090,Mus musculus,GSM7433526,"Department of Cardiology, School of Medicine, Southeast University",SRA1646545,10,2023,Makar,heart ventricular tissue,AngII+Si-NAT10_Ribo_2,heart ventricular tissue,heart ventricular tissue,AngII+Si-NAT10,AngII+Si-NAT10,missing,missing,
SRR24765982,143471084,10760331300,75,3151,SRX20541201,GSM7433527,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP440202,PRJNA977673,1,"",SRS17848362,SAMN35531784,simple,10090,Mus musculus,GSM7433527,"Department of Cardiology, School of Medicine, Southeast University",SRA1646545,10,2023,Makar,heart ventricular tissue,AngII+Si-NAT10_Ribo_3,heart ventricular tissue,heart ventricular tissue,AngII+Si-NAT10,AngII+Si-NAT10,missing,missing,
SRR24765948,23871429,7161428700,150,2052,SRX20541202,GSM7433528,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP440202,PRJNA977673,1,"",SRS17848363,SAMN35531783,simple,10090,Mus musculus,GSM7433528,"Department of Cardiology, School of Medicine, Southeast University",SRA1646545,10,2023,Makar,heart ventricular tissue,Sham_RNA_1,heart ventricular tissue,heart ventricular tissue,Sham,Sham,missing,missing,
SRR24765981,25226607,7567982100,150,2157,SRX20541203,GSM7433529,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP440202,PRJNA977673,1,"",SRS17848364,SAMN35531782,simple,10090,Mus musculus,GSM7433529,"Department of Cardiology, School of Medicine, Southeast University",SRA1646545,10,2023,Makar,heart ventricular tissue,Sham_RNA_2,heart ventricular tissue,heart ventricular tissue,Sham,Sham,missing,missing,
SRR24766003,30472839,9141851700,150,2747,SRX20541204,GSM7433530,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP440202,PRJNA977673,1,"",SRS17848365,SAMN35531781,simple,10090,Mus musculus,GSM7433530,"Department of Cardiology, School of Medicine, Southeast University",SRA1646545,10,2023,Makar,heart ventricular tissue,Sham_RNA_3,heart ventricular tissue,heart ventricular tissue,Sham,Sham,missing,missing,
SRR24765980,20772640,6231792000,150,1782,SRX20541205,GSM7433531,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP440202,PRJNA977673,1,"",SRS17848367,SAMN35531780,simple,10090,Mus musculus,GSM7433531,"Department of Cardiology, School of Medicine, Southeast University",SRA1646545,10,2023,Makar,heart ventricular tissue,AngII_RNA_1,heart ventricular tissue,heart ventricular tissue,AngII,AngII,missing,missing,
SRR24765969,23063210,6918963000,150,1964,SRX20541206,GSM7433532,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP440202,PRJNA977673,1,"",SRS17848366,SAMN35531779,simple,10090,Mus musculus,GSM7433532,"Department of Cardiology, School of Medicine, Southeast University",SRA1646545,10,2023,Makar,heart ventricular tissue,AngII_RNA_2,heart ventricular tissue,heart ventricular tissue,AngII,AngII,missing,missing,
SRR24765979,31072779,9321833700,150,2779,SRX20541207,GSM7433533,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP440202,PRJNA977673,1,"",SRS17848368,SAMN35531778,simple,10090,Mus musculus,GSM7433533,"Department of Cardiology, School of Medicine, Southeast University",SRA1646545,10,2023,Makar,heart ventricular tissue,AngII_RNA_3,heart ventricular tissue,heart ventricular tissue,AngII,AngII,missing,missing,
SRR24765975,42412022,12723606600,150,3863,SRX20541208,GSM7433489,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP440202,PRJNA977673,1,"",SRS17848369,SAMN35531822,simple,9606,Homo sapiens,GSM7433489,"Department of Cardiology, School of Medicine, Southeast University",SRA1646545,10,2023,Makar,heart ventricular tissue,Myocardial hypertrophy_input_2,heart ventricular tissue,heart ventricular tissue,Myocardial hypertrophy,Myocardial hypertrophy,missing,missing,
SRR24765971,51822514,15546754200,150,4715,SRX20541209,GSM7433490,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP440202,PRJNA977673,1,"",SRS17848370,SAMN35531821,simple,9606,Homo sapiens,GSM7433490,"Department of Cardiology, School of Medicine, Southeast University",SRA1646545,10,2023,Makar,heart ventricular tissue,Myocardial hypertrophy_input_3,heart ventricular tissue,heart ventricular tissue,Myocardial hypertrophy,Myocardial hypertrophy,missing,missing,
SRR24765970,19424426,5827327800,150,1668,SRX20541210,GSM7433534,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP440202,PRJNA977673,1,"",SRS17848371,SAMN35531777,simple,10090,Mus musculus,GSM7433534,"Department of Cardiology, School of Medicine, Southeast University",SRA1646545,10,2023,Makar,heart ventricular tissue,AngII+Si-NAT10_RNA_1,heart ventricular tissue,heart ventricular tissue,AngII+Si-NAT10,AngII+Si-NAT10,missing,missing,
SRR24765968,41718523,12515556900,150,3919,SRX20541211,GSM7433491,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP440202,PRJNA977673,1,"",SRS17848372,SAMN35531820,simple,9606,Homo sapiens,GSM7433491,"Department of Cardiology, School of Medicine, Southeast University",SRA1646545,10,2023,Makar,heart ventricular tissue,Non-myocardial hypertrophy_input_4,heart ventricular tissue,heart ventricular tissue,Non-myocardial hypertrophy,Non-myocardial hypertrophy,missing,missing,
SRR24765967,43271799,12981539700,150,4016,SRX20541212,GSM7433492,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP440202,PRJNA977673,1,"",SRS17848373,SAMN35531819,simple,9606,Homo sapiens,GSM7433492,"Department of Cardiology, School of Medicine, Southeast University",SRA1646545,10,2023,Makar,heart ventricular tissue,Non-myocardial hypertrophy_input_5,heart ventricular tissue,heart ventricular tissue,Non-myocardial hypertrophy,Non-myocardial hypertrophy,missing,missing,
SRR24765966,37080316,11124094800,150,3464,SRX20541213,GSM7433493,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP440202,PRJNA977673,1,"",SRS17848374,SAMN35531818,simple,9606,Homo sapiens,GSM7433493,"Department of Cardiology, School of Medicine, Southeast University",SRA1646545,10,2023,Makar,heart ventricular tissue,Non-myocardial hypertrophy_input_6,heart ventricular tissue,heart ventricular tissue,Non-myocardial hypertrophy,Non-myocardial hypertrophy,missing,missing,
SRR24765965,42199450,12659835000,150,3990,SRX20541214,GSM7433494,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP440202,PRJNA977673,1,"",SRS17848375,SAMN35531817,simple,9606,Homo sapiens,GSM7433494,"Department of Cardiology, School of Medicine, Southeast University",SRA1646545,10,2023,Makar,heart ventricular tissue,Myocardial hypertrophy_input_4,heart ventricular tissue,heart ventricular tissue,Myocardial hypertrophy,Myocardial hypertrophy,missing,missing,
SRR24765964,43210234,12963070200,150,4059,SRX20541215,GSM7433495,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP440202,PRJNA977673,1,"",SRS17848378,SAMN35531816,simple,9606,Homo sapiens,GSM7433495,"Department of Cardiology, School of Medicine, Southeast University",SRA1646545,10,2023,Makar,heart ventricular tissue,Myocardial hypertrophy_input_5,heart ventricular tissue,heart ventricular tissue,Myocardial hypertrophy,Myocardial hypertrophy,missing,missing,
SRR24765963,41007259,12302177700,150,3856,SRX20541216,GSM7433496,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP440202,PRJNA977673,1,"",SRS17848377,SAMN35531815,simple,9606,Homo sapiens,GSM7433496,"Department of Cardiology, School of Medicine, Southeast University",SRA1646545,10,2023,Makar,heart ventricular tissue,Myocardial hypertrophy_input_6,heart ventricular tissue,heart ventricular tissue,Myocardial hypertrophy,Myocardial hypertrophy,missing,missing,
SRR24765962,25205432,7561629600,150,2161,SRX20541217,GSM7433535,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP440202,PRJNA977673,1,"",SRS17848376,SAMN35531776,simple,10090,Mus musculus,GSM7433535,"Department of Cardiology, School of Medicine, Southeast University",SRA1646545,10,2023,Makar,heart ventricular tissue,AngII+Si-NAT10_RNA_2,heart ventricular tissue,heart ventricular tissue,AngII+Si-NAT10,AngII+Si-NAT10,missing,missing,
SRR24765961,31357664,9407299200,150,2818,SRX20541218,GSM7433536,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP440202,PRJNA977673,1,"",SRS17848379,SAMN35531775,simple,10090,Mus musculus,GSM7433536,"Department of Cardiology, School of Medicine, Southeast University",SRA1646545,10,2023,Makar,heart ventricular tissue,AngII+Si-NAT10_RNA_3,heart ventricular tissue,heart ventricular tissue,AngII+Si-NAT10,AngII+Si-NAT10,missing,missing,
SRR24765960,36689162,11006748600,150,3581,SRX20541219,GSM7433497,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP440202,PRJNA977673,1,"",SRS17848380,SAMN35531814,simple,10090,Mus musculus,GSM7433497,"Department of Cardiology, School of Medicine, Southeast University",SRA1646545,10,2023,Makar,heart ventricular tissue,IP AngII_1,heart ventricular tissue,heart ventricular tissue,AngII,AngII,missing,missing,
SRR24765977,72497951,21749385300,150,6424,SRX20541220,GSM7433500,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP440202,PRJNA977673,1,"",SRS17848381,SAMN35531811,simple,10090,Mus musculus,GSM7433500,"Department of Cardiology, School of Medicine, Southeast University",SRA1646545,10,2023,Makar,heart ventricular tissue,IP AngII+Si-NAT10_1,heart ventricular tissue,heart ventricular tissue,AngII+Si-NAT10,AngII+Si-NAT10,missing,missing,
SRR24765955,65527007,19658102100,150,5724,SRX20541221,GSM7433501,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP440202,PRJNA977673,1,"",SRS17848382,SAMN35531810,simple,10090,Mus musculus,GSM7433501,"Department of Cardiology, School of Medicine, Southeast University",SRA1646545,10,2023,Makar,heart ventricular tissue,IP AngII+Si-NAT10_2,heart ventricular tissue,heart ventricular tissue,AngII+Si-NAT10,AngII+Si-NAT10,missing,missing,
SRR24765976,46223397,13867019100,150,4646,SRX20541222,GSM7433498,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP440202,PRJNA977673,1,"",SRS17848383,SAMN35531813,simple,10090,Mus musculus,GSM7433498,"Department of Cardiology, School of Medicine, Southeast University",SRA1646545,10,2023,Makar,heart ventricular tissue,IP AngII_2,heart ventricular tissue,heart ventricular tissue,AngII,AngII,missing,missing,
