Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,genotype,treatment,geo_loc_name,collection_date
SRR24848237,5985775,1515989739,134,503,SRX20612319,GSM7458249,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP441445,PRJNA980634,1,"",SRS17912150,SAMN35646529,simple,562,Escherichia coli,GSM7458249,"Tianmin Wang Lab, School of Life Science and Technology, ShanghaiTech University",SRA1650428,12,2023,Makar,BW25113,"0 min, replicate 1, RNA-seq, wildtype",BW25113,BW25113,wildtype,None,missing,missing
SRR24848236,3693339,952798671,138,319,SRX20612320,GSM7458258,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP441445,PRJNA980634,1,"",SRS17912151,SAMN35646520,simple,562,Escherichia coli,GSM7458258,"Tianmin Wang Lab, School of Life Science and Technology, ShanghaiTech University",SRA1650428,12,2023,Makar,BW25113,"0 min, RNA-seq, Δmfd",BW25113,BW25113,{delta}mfd,"6 mg/L, gentamicin",missing,missing
SRR24848235,5657883,1448204122,136,476,SRX20612321,GSM7458257,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP441445,PRJNA980634,1,"",SRS17912152,SAMN35646521,simple,562,Escherichia coli,GSM7458257,"Tianmin Wang Lab, School of Life Science and Technology, ShanghaiTech University",SRA1650428,12,2023,Makar,BW25113,"Gentamicin, 110 min, RNA-seq, wildtype",BW25113,BW25113,wildtype,"6 mg/L, gentamicin",missing,missing
SRR24848234,9899062,2530178260,136,822,SRX20612322,GSM7458256,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP441445,PRJNA980634,1,"",SRS17912153,SAMN35646522,simple,562,Escherichia coli,GSM7458256,"Tianmin Wang Lab, School of Life Science and Technology, ShanghaiTech University",SRA1650428,12,2023,Makar,BW25113,"Gentamicin, 74 min, RNA-seq, wildype",BW25113,BW25113,wildtype,"6 mg/L, gentamicin",missing,missing
SRR24848233,6228740,1592957099,136,518,SRX20612323,GSM7458255,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP441445,PRJNA980634,1,"",SRS17912156,SAMN35646523,simple,562,Escherichia coli,GSM7458255,"Tianmin Wang Lab, School of Life Science and Technology, ShanghaiTech University",SRA1650428,12,2023,Makar,BW25113,"Gentamicin, 60 min, RNA-seq, wildtype",BW25113,BW25113,wildtype,"6 mg/L, gentamicin",missing,missing
SRR24848232,23664252,6061711615,136,1964,SRX20612324,GSM7458254,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP441445,PRJNA980634,1,"",SRS17912154,SAMN35646524,simple,562,Escherichia coli,GSM7458254,"Tianmin Wang Lab, School of Life Science and Technology, ShanghaiTech University",SRA1650428,12,2023,Makar,BW25113,"Gentamicin, 40 min, RNA-seq, wildtype",BW25113,BW25113,wildtype,"6 mg/L, gentamicin",missing,missing
SRR24848231,16864429,4299741959,135,1347,SRX20612325,GSM7458253,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP441445,PRJNA980634,1,"",SRS17912155,SAMN35646525,simple,562,Escherichia coli,GSM7458253,"Tianmin Wang Lab, School of Life Science and Technology, ShanghaiTech University",SRA1650428,12,2023,Makar,BW25113,"Gentamicin, 20 min, RNA-seq, wildtype",BW25113,BW25113,wildtype,"6 mg/L, gentamicin",missing,missing
SRR24848230,10737031,2738508341,135,853,SRX20612326,GSM7458252,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP441445,PRJNA980634,1,"",SRS17912157,SAMN35646526,simple,562,Escherichia coli,GSM7458252,"Tianmin Wang Lab, School of Life Science and Technology, ShanghaiTech University",SRA1650428,12,2023,Makar,BW25113,"Gentamicin, 13 min, RNA-seq, wildtype",BW25113,BW25113,wildtype,"6 mg/L, gentamicin",missing,missing
SRR24848229,8324400,2127326471,136,661,SRX20612327,GSM7458251,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP441445,PRJNA980634,1,"",SRS17912161,SAMN35646527,simple,562,Escherichia coli,GSM7458251,"Tianmin Wang Lab, School of Life Science and Technology, ShanghaiTech University",SRA1650428,12,2023,Makar,BW25113,"Gentamicin, 6 min, RNA-seq, wildtype",BW25113,BW25113,wildtype,"6 mg/L, gentamicin",missing,missing
SRR24848228,13912859,3533208687,134,1096,SRX20612328,GSM7458250,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP441445,PRJNA980634,1,"",SRS17912160,SAMN35646528,simple,562,Escherichia coli,GSM7458250,"Tianmin Wang Lab, School of Life Science and Technology, ShanghaiTech University",SRA1650428,12,2023,Makar,BW25113,"0 min, replicate 2, RNA-seq, wildtype",BW25113,BW25113,wildtype,None,missing,missing
SRR24848227,12478624,3425051361,127,1082,SRX20612329,GSM7458264,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP441445,PRJNA980634,1,"",SRS17912158,SAMN35646514,simple,562,Escherichia coli,GSM7458264,"Tianmin Wang Lab, School of Life Science and Technology, ShanghaiTech University",SRA1650428,12,2023,Makar,BW25113,"Gentamicin, 13 min, 3'-end-seq, wildtype",BW25113,BW25113,wildtype,"6 mg/L, gentamicin",missing,missing
SRR24848226,4241942,1272582600,150,394,SRX20612330,GSM7458274,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP441445,PRJNA980634,1,"",SRS17912159,SAMN35646504,simple,562,Escherichia coli,GSM7458274,"Tianmin Wang Lab, School of Life Science and Technology, ShanghaiTech University",SRA1650428,12,2023,Makar,BW25113,Gentamicin-induced mutation 2,BW25113,BW25113,mutant,None,missing,missing
SRR24848225,10691304,2938003741,127,932,SRX20612331,GSM7458263,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP441445,PRJNA980634,1,"",SRS17912162,SAMN35646515,simple,562,Escherichia coli,GSM7458263,"Tianmin Wang Lab, School of Life Science and Technology, ShanghaiTech University",SRA1650428,12,2023,Makar,BW25113,"Gentamicin, 6 min, 3'-end-seq, wildtype",BW25113,BW25113,wildtype,"6 mg/L, gentamicin",missing,missing
SRR24848224,12955107,3556365558,127,1128,SRX20612332,GSM7458262,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP441445,PRJNA980634,1,"",SRS17912164,SAMN35646516,simple,562,Escherichia coli,GSM7458262,"Tianmin Wang Lab, School of Life Science and Technology, ShanghaiTech University",SRA1650428,12,2023,Makar,BW25113,"0 min, replicate 2, 3'-end-seq, wildtype",BW25113,BW25113,wildtype,None,missing,missing
SRR24848223,7247743,1975857909,125,665,SRX20612333,GSM7458261,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP441445,PRJNA980634,1,"",SRS17912163,SAMN35646517,simple,562,Escherichia coli,GSM7458261,"Tianmin Wang Lab, School of Life Science and Technology, ShanghaiTech University",SRA1650428,12,2023,Makar,BW25113,"0 min, replicate 1, 3'-end-seq, wildtype",BW25113,BW25113,wildtype,None,missing,missing
SRR24848222,4292534,1287760200,150,434,SRX20612334,GSM7458277,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP441445,PRJNA980634,1,"",SRS17912165,SAMN35646501,simple,562,Escherichia coli,GSM7458277,"Tianmin Wang Lab, School of Life Science and Technology, ShanghaiTech University",SRA1650428,12,2023,Makar,BW25113,Gentamicin-induced mutation 5,BW25113,BW25113,mutant,None,missing,missing
SRR24848221,3792949,971230890,136,325,SRX20612335,GSM7458260,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP441445,PRJNA980634,1,"",SRS17912168,SAMN35646518,simple,562,Escherichia coli,GSM7458260,"Tianmin Wang Lab, School of Life Science and Technology, ShanghaiTech University",SRA1650428,12,2023,Makar,BW25113,"Gentamicin, 110 min, RNA-seq, Δmfd",BW25113,BW25113,{delta}mfd,"6 mg/L, gentamicin",missing,missing
SRR24848220,5413955,1355443374,131,460,SRX20612336,GSM7458259,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP441445,PRJNA980634,1,"",SRS17912166,SAMN35646519,simple,562,Escherichia coli,GSM7458259,"Tianmin Wang Lab, School of Life Science and Technology, ShanghaiTech University",SRA1650428,12,2023,Makar,BW25113,"Gentamicin, 60 min, RNA-seq, Δmfd",BW25113,BW25113,{delta}mfd,"6 mg/L, gentamicin",missing,missing
SRR24848219,2665548,799664400,150,248,SRX20612337,GSM7458280,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP441445,PRJNA980634,1,"",SRS17912167,SAMN35646498,simple,562,Escherichia coli,GSM7458280,"Tianmin Wang Lab, School of Life Science and Technology, ShanghaiTech University",SRA1650428,12,2023,Makar,BW25113,Gentamicin-induced mutation 8,BW25113,BW25113,mutant,None,missing,missing
