Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,Sex,genotype,treatment,treatment,geo_loc_name,collection_date
SRR25010231,1053776,30845477,29,36,SRX20765469,GSM7508089,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP445581,PRJNA986928,,"",SRS18053693,SAMN35881737,simple,10090,Mus musculus,GSM7508089,"Center for Integrative Genomics, UNIL",SRA1661401,10,2023,Gatfield,Liver,"monosome Chow, rep 2",Liver,Liver,male,WT,Chow Diet,None,missing,missing
SRR25010230,1635713,48725959,29,56,SRX20765470,GSM7508088,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP445581,PRJNA986928,,"",SRS18053694,SAMN35881738,simple,10090,Mus musculus,GSM7508088,"Center for Integrative Genomics, UNIL",SRA1661401,10,2023,Gatfield,Liver,"monosome Chow, rep 1",Liver,Liver,male,WT,Chow Diet,None,missing,missing
SRR25010228,2178642,64289563,29,75,SRX20765472,GSM7508093,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP445581,PRJNA986928,,"",SRS18053696,SAMN35881733,simple,10090,Mus musculus,GSM7508093,"Center for Integrative Genomics, UNIL",SRA1661401,10,2023,Gatfield,Liver,"monosome HFHS, rep 3",Liver,Liver,male,WT,High Fat High Sugar,None,missing,missing
SRR25010227,1636052,48372896,29,56,SRX20765473,GSM7508092,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP445581,PRJNA986928,,"",SRS18053697,SAMN35881734,simple,10090,Mus musculus,GSM7508092,"Center for Integrative Genomics, UNIL",SRA1661401,10,2023,Gatfield,Liver,"monosome HFHS, rep 2",Liver,Liver,male,WT,High Fat High Sugar,None,missing,missing
SRR25010226,1836761,54350720,29,63,SRX20765474,GSM7508091,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP445581,PRJNA986928,,"",SRS18053698,SAMN35881735,simple,10090,Mus musculus,GSM7508091,"Center for Integrative Genomics, UNIL",SRA1661401,10,2023,Gatfield,Liver,"monosome HFHS, rep 1",Liver,Liver,male,WT,High Fat High Sugar,None,missing,missing
SRR25010225,1363091,40257633,29,47,SRX20765475,GSM7508090,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP445581,PRJNA986928,,"",SRS18053699,SAMN35881736,simple,10090,Mus musculus,GSM7508090,"Center for Integrative Genomics, UNIL",SRA1661401,10,2023,Gatfield,Liver,"monosome Chow, rep 3",Liver,Liver,male,WT,Chow Diet,None,missing,missing
SRR25010224,402029,23058062,57,16,SRX20765476,GSM7508102,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP445581,PRJNA986928,,"",SRS18053700,SAMN35881724,simple,10090,Mus musculus,GSM7508102,"Center for Integrative Genomics, UNIL",SRA1661401,10,2023,Gatfield,Liver,"disome Chow, rep 3",Liver,Liver,male,WT,Chow Diet,None,missing,missing
SRR25010223,344226,19565308,56,14,SRX20765477,GSM7508103,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP445581,PRJNA986928,,"",SRS18053701,SAMN35881723,simple,10090,Mus musculus,GSM7508103,"Center for Integrative Genomics, UNIL",SRA1661401,10,2023,Gatfield,Liver,"disome HFHS, rep 1",Liver,Liver,male,WT,High Fat High Sugar,None,missing,missing
SRR25010222,339153,19197993,56,14,SRX20765478,GSM7508104,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP445581,PRJNA986928,,"",SRS18053702,SAMN35881722,simple,10090,Mus musculus,GSM7508104,"Center for Integrative Genomics, UNIL",SRA1661401,10,2023,Gatfield,Liver,"disome HFHS, rep 3",Liver,Liver,male,WT,High Fat High Sugar,None,missing,missing
SRR25010210,333094,19077457,57,13,SRX20765490,GSM7508100,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP445581,PRJNA986928,,"",SRS18053714,SAMN35881726,simple,10090,Mus musculus,GSM7508100,"Center for Integrative Genomics, UNIL",SRA1661401,10,2023,Gatfield,Liver,"disome Chow, rep 1",Liver,Liver,male,WT,Chow Diet,None,missing,missing
SRR25010209,201869,11485271,56,8,SRX20765491,GSM7508101,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP445581,PRJNA986928,,"",SRS18053715,SAMN35881725,simple,10090,Mus musculus,GSM7508101,"Center for Integrative Genomics, UNIL",SRA1661401,10,2023,Gatfield,Liver,"disome Chow, rep 2",Liver,Liver,male,WT,Chow Diet,None,missing,missing
