Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,cell type,geo_loc_name,collection_date,genotype
SRR25424629,16529125,3305825000,100,2123,SRX21159226,GSM7661154,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP451467,PRJNA998463,38196311,"",SRS18421421,SAMN36705673,simple,9606,Homo sapiens,GSM7661154,"Institute of Pathology, University Medical Center Göttingen",SRA1679774,04,2024,Palikyras,IMR90,I79young_rep1-RNA-seq,IMR90,IMR90,human lung fibroblast,missing,missing,
SRR25424628,21858268,4371653600,100,2830,SRX21159227,GSM7661156,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP451467,PRJNA998463,38196311,"",SRS18421422,SAMN36705671,simple,9606,Homo sapiens,GSM7661156,"Institute of Pathology, University Medical Center Göttingen",SRA1679774,04,2024,Palikyras,IMR90,I79old_rep1-RNA-seq,IMR90,IMR90,human lung fibroblast,missing,missing,
SRR25424627,20052329,4010465800,100,2585,SRX21159228,GSM7661158,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP451467,PRJNA998463,38196311,"",SRS18421423,SAMN36705669,simple,9606,Homo sapiens,GSM7661158,"Institute of Pathology, University Medical Center Göttingen",SRA1679774,04,2024,Palikyras,IMR90,I10young_rep1-RNA-seq,IMR90,IMR90,human lung fibroblast,missing,missing,
SRR25424626,22530776,4506155200,100,2886,SRX21159229,GSM7661160,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP451467,PRJNA998463,38196311,"",SRS18421424,SAMN36705667,simple,9606,Homo sapiens,GSM7661160,"Institute of Pathology, University Medical Center Göttingen",SRA1679774,04,2024,Palikyras,IMR90,I10old_rep1-RNA-seq,IMR90,IMR90,human lung fibroblast,missing,missing,
SRR25424625,29648217,1497815523,50,669,SRX21159230,GSM7661162,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP451467,PRJNA998463,38196311,"",SRS18421425,SAMN36705665,simple,9606,Homo sapiens,GSM7661162,"Institute of Pathology, University Medical Center Göttingen",SRA1679774,04,2024,Palikyras,IMR90,I79ICMrep1-RNA-seq,IMR90,IMR90,human lung fibroblast,missing,missing,
SRR25424624,24522741,1239417629,50,557,SRX21159231,GSM7661163,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP451467,PRJNA998463,38196311,"",SRS18421426,SAMN36705664,simple,9606,Homo sapiens,GSM7661163,"Institute of Pathology, University Medical Center Göttingen",SRA1679774,04,2024,Palikyras,IMR90,I79ICMrep2-RNA-seq,IMR90,IMR90,human lung fibroblast,missing,missing,
SRR27189935,41634576,12490372800,150,4005,SRX22870086,GSM7971865,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP451467,PRJNA998463,38196311,"",SRS19843600,SAMN38791838,simple,9606,Homo sapiens,GSM7971865,"Institute of Pathology, University Medical Center Göttingen",SRA1767696,04,2024,Palikyras,IMR90,WT_rep1_RNA-seq,IMR90,IMR90,human lung fibroblast,missing,missing,wild type
SRR27189934,45047782,13514334600,150,3976,SRX22870087,GSM7971866,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP451467,PRJNA998463,38196311,"",SRS19843601,SAMN38791837,simple,9606,Homo sapiens,GSM7971866,"Institute of Pathology, University Medical Center Göttingen",SRA1767696,04,2024,Palikyras,IMR90,WT_rep2_RNA-seq,IMR90,IMR90,human lung fibroblast,missing,missing,wild type
SRR27189933,45699175,13709752500,150,4406,SRX22870088,GSM7971867,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP451467,PRJNA998463,38196311,"",SRS19843602,SAMN38791836,simple,9606,Homo sapiens,GSM7971867,"Institute of Pathology, University Medical Center Göttingen",SRA1767696,04,2024,Palikyras,IMR90,HMGB2_KD_rep1_RNA-seq,IMR90,IMR90,human lung fibroblast,missing,missing,HMGB2 knockdown
SRR27189932,51281657,15384497100,150,4568,SRX22870089,GSM7971868,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP451467,PRJNA998463,38196311,"",SRS19843603,SAMN38791835,simple,9606,Homo sapiens,GSM7971868,"Institute of Pathology, University Medical Center Göttingen",SRA1767696,04,2024,Palikyras,IMR90,HMGB2_KD_rep2_RNA-seq,IMR90,IMR90,human lung fibroblast,missing,missing,HMGB2 knockdown
