id,title,abstract
PRJNA1215561,Novel Integration of Bulk-seq and TRAP-seq to Explore Plx3397 Resistance Mechanisms in glioblastoma,""
PRJEB63358,"Ribo-seq of human breast cancer cell line MCF7 overexpressing different full length SOX2, N-terminal SOX2 and C-terminal SOX2 with nuclear export signal",Understanding the role of transcription factor SOX2 in translational control in breast cancer.
PRJNA1204289,Inhibition of tumor-intrinsic NAT10 enhances antitumor immunity by triggering type I interferon responses via MYC/CDK2/DNMT1 pathway.,"Purpose:Posttranscriptional modifications are deeply involved in cancer progression; however, there remains knowledge gap regarding the function and immune regulatory mechanism of newly discovered mRNA acetylation modification.Methods: The expression of NAT10 in human tumor tissues was analyzed based on TCGA data. NAT10 knockout murine cell lines were generated to analyze the NAT10-associated tumor progression and anti-tumor immune response in tumor xenograft models. Immune cells and cytokines in TME were quantified by immunofluorescence, flow cytometry, quantitative reverse transcription-PCR, and ELISPOT assay. NAT10-associated differentially expressed genes were investigated in cancer cells and tissues with RNA-Seq. Results:Loss of tumoral NAT10 significantly stimulated tumor-specific cellular immune responses and suppressed tumor growth. Mechanistically, we identified MYC as a key downstream target of NAT10 via enhancing mRNA stability and translation efficiency. Inhibition of NAT10 blocked the MYC/CDK2/DNMT1 pathway, subsequently enhancing double-stranded RNAs (dsRNA) formation, which triggered type I interferon responses to enhance the in vivo response of tumor specific CD8+ T cells. Conclusions: Inhibition of NAT10 using either small molecule inhibitor (Remodelin) or PEI/PC7A/siNAT10 nanoparticles combined with PD-1 blockade synergistically enhanced the anti-tumor immune response and repressed tumor progression. Our findings uncovered the crucial role of tumor-intrinsic NAT10 in tumor immune microenvironment, representing a promising target for enhancing cancer immunotherapy. Overall design: mRNA profiles of TC1 wild type (WT) and sgNAT10 or sgMyc cell lines; acRIP-seq of TC1 wild type (WT) and sgNAT10 cell line; Ribo-seq of TC1 wild type (WT) and sgNAT10 cell line."
PRJNA1201554,Ribosome profiling reveal the unfolded protein response as a central regulator of pigeon lactation,"This study examines crop sacs from 225-day-old unpaired, non-lactating male pigeons (MN) alongside males that initiated lactation on the first day after incubation (ML). Through ribosome profiling, we observed a significant upregulation of genes linked to ribosome assembly and protein synthesis in ML samples compared to MN."
PRJNA1197449,Male specific conserved LncRNA TSCL1 regulated target mRNA translation by interaction with PIWIL1 [Ribo-seq],"Long non-coding RNAs are known to play crucial roles in various physiological processes in mammals, yet their functions in spermatogenesis remain largely underexplored. Here, we have identified a distinct category of conserved haploid spermatids-associated long non-coding RNAs (cHS-LncRNAs) characterized by their sequence-based conservation, specific expression in the testis, and elevated expression levels in haploid spermatids. Among these, we found that the testis specific conserved LncRNA 1 (Tscl1) exhibits the highest expression in round spermatids. Deletion of Tscl1 in mice exhibits reduced sperm motility, disordered mitochondrial sheath structure, abnormal fatty acid metabolism, and results in male infertility. Mechanistically, Tscl1 directly interacts with PIWIL1 and HuR via its 5' end stem-loop  structure and multiple AU-rich elements, respectively. This binding pattern promotes the formation of the PIWIL1/eIF3f/HuR/eIF4G3 supercomplex, regulating the translation efficiency of fatty acid metabolism-associated mRNAs within the chromatoid body. Furthermore, the region where TSCL1 interacts with PIWIL1 is significantly enriched with TSCL1 variants identified in patients with non-obstructive azoospermia (NOA) compared to those in the fertile controls (OR=5.992, P=0.020,  NCase=1,338, NControl=2,664). Taken together, our findings elucidate the critical role of Tscl1 in regulating the translation efficiency of target mRNAs through its collaboration with PIWIL1 and HuR during spermiogenesis. Overall design: Ribo-seq in TSCL1_Lnc_KO and TSCL1_WT"
PRJNA1192995,Dynamic Ribosome Profiling of Maize Anthers During Development Reveals an Important Role of Translated ORFs in Gene UTRs,"Maize (Zea mays) anther development has been studied extensively at the transcriptional level, but few studies have analyzed translation across anther development. Here, we examined translation by conducting ribosome profiling of anther samples from ten developmental stages."
PRJNA1191647,Arabidopsis thaliana Raw sequence reads (Ribo-seq) of ethylene-treated Wild Type,Ribo-seq of Arabidopsis seedlings treated with ethylene.
PRJNA1189055,Human eIF2A has a minimal role in translation initiation and in uORFmediated translational control,"We apply ribosome profiling here to assess the role of eIF2A in translation initiation. For this we test the change in translation efficiency between HeLa control and eIF2A-KO cells, however we do not find any transcript to depend on eIF2A. Since eIF2A is thought to take over the function of eIF2 when eIF2 is inhibited, we also test conditions where the integrated stress response is activated, thereby leading to eIF2 inactivation. In none of our assays, however, could we detect a role of eIF2A in translation initiation. Overall design: To find, if there are any transcripts dependent on eIF2A, we generated HeLa eIF2A knock-out cell line and performed ribosome profiling on it and an isogenic control HeLa cell line. This experiment was performed in triplicate. To test if inhibition of eIF2 redirects translation initiation to eIF2A we again performed ribosome profiling on the above-mentioned cell lines in combination with tunicamycin (16 hours) treatment. This experiment was performed in duplicates."
PRJNA1188270,NaP-TRAP Reveals the Regulatory Grammar in 5'UTR-Mediated Translation Regulation During Zebrafish Development,"The cis-regulatory elements encoded in a mRNA determine its stability and translational output. While there has been a considerable effort to understand the factors driving mRNA stability, the regulatory frameworks governing translational control remain more elusive. We have developed a novel massively parallel reporter assay (MPRA) to measure mRNA translation, named Nascent Peptide Translating Ribosome Affinity Purification (NaP-TRAP). NaP-TRAP measures translation in a frame specific manner through the immunocapture of epitope tagged nascent peptides of reporter mRNAs. We benchmark NaP-TRAP to polysome profiling and use it to quantify Kozak strength and the regulatory landscapes of five prime UTRs in the developing zebrafish embryo and in human cells. Through this approach we identified general and developmentally dynamic cis-regulatory elements, as well as potential trans-factor proteins. We find that U-rich motifs are general enhancers, and upstream ORFs and GC-rich motifs are global repressors of translation. We also observe a translational switch during the maternal-to-zygotic transition, where C-rich motifs shift from repressors to prominent activators of translation. Conversely, we show that microRNA sites in the five prime UTR repress translation following the zygotic expression of miR-430. Together these results demonstrate that NaP-TRAP is a versatile, accessible, and powerful method to decode the regulatory functions of UTRs across different systems."
PRJNA1186693,The RNA-Seq reveal flight-induced ribosome impairment in the cerebellum of racing pigeons,"The avian cerebellum is known for its relatively large size and high degree of development, functioning as a crucial region for multisensory integration and motor control, particularly important for flight. This study aimed to investigate changes in gene expression in the cerebellum of racing pigeons using RNA-Seq analysis. The researchers analyzed samples from 10 racing homers' cerebellums before and after a 300 km flight back to their loft. The findings revealed that flight induces ribosome impairment in the cerebellum, suggesting potential alterations in the protein synthesis machinery due to prolonged flight activity as response to stress and maintain homeostasis. Overall design: The profiling of cerebellum transcriptome was performed on 5 samples obtained from racing homers competing in a 300 km flight and 5 birds of the same age form the same loft but which rested in the loft on the day of the competition.  The performing group upon their return and the control group were sedated and deceased using the cervical dislocation method"
