Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,genetic lineage,time,media,stress,geo_loc_name,collection_date
SRR29306807,49851945,15055287390,151,5802,SRX24823804,GSM8309143,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP512204,PRJNA1120791,38948718,"",SRS21536953,SAMN41708606,simple,947046,Saccharomyces cerevisiae YPS1009,GSM8309143,"Genetics, University of Wisconsin",SRA1890898,08,2024,Escalante,YPS1009,Euploid_LOG_R1,YPS1009,YPS1009,North American,log-phase,YPD,--,missing,missing
SRR29306808,7318605,746497710,51,292,SRX24823804,GSM8309143,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP512204,PRJNA1120791,38948718,"",SRS21536953,SAMN41708606,simple,947046,Saccharomyces cerevisiae YPS1009,GSM8309143,"Genetics, University of Wisconsin",SRA1890898,08,2024,Escalante,YPS1009,Euploid_LOG_R1,YPS1009,YPS1009,North American,day 4,YPD,stationary phase,missing,missing
SRR29306805,9921057,1011947814,51,395,SRX24823805,GSM8309144,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP512204,PRJNA1120791,38948718,"",SRS21536956,SAMN41708605,simple,947046,Saccharomyces cerevisiae YPS1009,GSM8309144,"Genetics, University of Wisconsin",SRA1890898,08,2024,Escalante,YPS1009,Euploid_Q_R1,YPS1009,YPS1009,North American,log-phase,YPD,--,missing,missing
SRR29306806,46383172,14007717944,151,5494,SRX24823805,GSM8309144,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP512204,PRJNA1120791,38948718,"",SRS21536956,SAMN41708605,simple,947046,Saccharomyces cerevisiae YPS1009,GSM8309144,"Genetics, University of Wisconsin",SRA1890898,08,2024,Escalante,YPS1009,Euploid_Q_R1,YPS1009,YPS1009,North American,day 4,YPD,stationary phase,missing,missing
SRR29306803,52153141,15750248582,151,6124,SRX24823806,GSM8309145,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP512204,PRJNA1120791,38948718,"",SRS21536955,SAMN41708604,simple,947046,Saccharomyces cerevisiae YPS1009,GSM8309145,"Genetics, University of Wisconsin",SRA1890898,08,2024,Escalante,YPS1009,Chr12_LOG_R1,YPS1009,YPS1009,North American,log-phase,YPD,--,missing,missing
SRR29306804,6709080,684326160,51,268,SRX24823806,GSM8309145,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP512204,PRJNA1120791,38948718,"",SRS21536955,SAMN41708604,simple,947046,Saccharomyces cerevisiae YPS1009,GSM8309145,"Genetics, University of Wisconsin",SRA1890898,08,2024,Escalante,YPS1009,Chr12_LOG_R1,YPS1009,YPS1009,North American,day 4,YPD,stationary phase,missing,missing
SRR29306801,47142150,14236929300,151,5555,SRX24823807,GSM8309146,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP512204,PRJNA1120791,38948718,"",SRS21536954,SAMN41708603,simple,947046,Saccharomyces cerevisiae YPS1009,GSM8309146,"Genetics, University of Wisconsin",SRA1890898,08,2024,Escalante,YPS1009,Chr12_Q_R1,YPS1009,YPS1009,North American,log-phase,YPD,--,missing,missing
SRR29306802,6485069,661477038,51,261,SRX24823807,GSM8309146,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP512204,PRJNA1120791,38948718,"",SRS21536954,SAMN41708603,simple,947046,Saccharomyces cerevisiae YPS1009,GSM8309146,"Genetics, University of Wisconsin",SRA1890898,08,2024,Escalante,YPS1009,Chr12_Q_R1,YPS1009,YPS1009,North American,day 4,YPD,stationary phase,missing,missing
SRR29306800,34448527,1756874877,51,617,SRX24823808,GSM8309147,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP512204,PRJNA1120791,38948718,"",SRS21536958,SAMN41708602,simple,947046,Saccharomyces cerevisiae YPS1009,GSM8309147,"Genetics, University of Wisconsin",SRA1890898,08,2024,Escalante,YPS1009,Euploid_LOG_R2,YPS1009,YPS1009,North American,log-phase,YPD,--,missing,missing
SRR29306799,240613550,36332646050,151,12410,SRX24823809,GSM8309148,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP512204,PRJNA1120791,38948718,"",SRS21536957,SAMN41708601,simple,947046,Saccharomyces cerevisiae YPS1009,GSM8309148,"Genetics, University of Wisconsin",SRA1890898,08,2024,Escalante,YPS1009,Euploid_Q_R2,YPS1009,YPS1009,North American,day 4,YPD,stationary phase,missing,missing
